tau,x
0,-0.682052
0.05,-0.785969
0.1,-0.867591
0.15,-0.930201
0.2,-0.979427
0.25,-1.01236
0.3,-1.04114
0.35,-1.04179
0.4,-1.0304
0.45,-1.00621
0.5,-1.01514
0.55,-0.974957
0.6,-0.934704
0.65,-0.900591
0.7,-0.858907
0.75,-0.79435
0.8,-0.764837
0.85,-0.752412
0.9,-0.716581
0.95,-0.660347
1,-0.615461
1.05,-0.582781
1.1,-0.58374
1.15,-0.623108
1.2,-0.636313
1.25,-0.634501
1.3,-0.617914
1.35,-0.678612
1.4,-0.748836
1.45,-0.783752
1.5,-0.800111
1.55,-0.851892
1.6,-0.906789
1.65,-0.941979
1.7,-0.988424
1.75,-1.02047
1.8,-1.07059
1.85,-1.08472
1.9,-1.10965
1.95,-1.13563
2,-1.16164
2.05,-1.17925
2.1,-1.20861
2.15,-1.23718
2.2,-1.24341
2.25,-1.2642
2.3,-1.27622
2.35,-1.30399
2.4,-1.32495
2.45,-1.34551
2.5,-1.36165
2.55,-1.36866
2.6,-1.37613
2.65,-1.37709
2.7,-1.37517
2.75,-1.36693
2.8,-1.35662
2.85,-1.35
2.9,-1.33805
2.95,-1.32725
3,-1.31231
3.05,-1.31403
3.1,-1.30948
3.15,-1.31042
3.2,-1.31046
3.25,-1.30453
3.3,-1.29522
3.35,-1.29614
3.4,-1.29358
3.45,-1.28395
3.5,-1.2848
3.55,-1.28114
3.6,-1.2795
3.65,-1.26254
3.7,-1.2445
3.75,-1.21698
3.8,-1.18841
3.85,-1.14489
3.9,-1.08937
3.95,-1.02457
4,-0.947608
4.05,-0.881767
4.1,-0.782898
4.15,-0.69596
4.2,-0.566962
4.25,-0.436892
4.3,-0.325582
4.35,-0.204489
4.4,-0.0740684
4.45,0.0424943
4.5,0.163497
4.55,0.291591
4.6,0.406505
4.65,0.510641
4.7,0.612505
4.75,0.706453
4.8,0.786467
4.85,0.85927
4.9,0.912377
4.95,0.962629
5,1.00095
5.05,1.03075
5.1,1.04447
5.15,1.04914
5.2,1.03109
5.25,0.99656
5.3,0.9387
5.35,0.858186
5.4,0.74673
5.45,0.61226
5.5,0.457564
5.55,0.299431
5.6,0.122594
5.65,-0.0515084
5.7,-0.216868
5.75,-0.367251
5.8,-0.504127
5.85,-0.618856
5.9,-0.717708
5.95,-0.810985
6,-0.875349
6.05,-0.935956
6.1,-0.989047
6.15,-1.01708
6.2,-1.05939
6.25,-1.08088
6.3,-1.08897
6.35,-1.10818
6.4,-1.12773
6.45,-1.14002
6.5,-1.15164
6.55,-1.17728
6.6,-1.1952
6.65,-1.2288
6.7,-1.23226
6.75,-1.2503
6.8,-1.27482
6.85,-1.26618
6.9,-1.27941
6.95,-1.30178
7,-1.30947
7.05,-1.31299
7.1,-1.32399
7.15,-1.34354
7.2,-1.35074
7.25,-1.36498
7.3,-1.38047
7.35,-1.39544
7.4,-1.40529
7.45,-1.41603
7.5,-1.4233
7.55,-1.43192
7.6,-1.42962
7.65,-1.43144
7.7,-1.43131
7.75,-1.42822
7.8,-1.42418
7.85,-1.41837
7.9,-1.40579
7.95,-1.39381
8,-1.3812
8.05,-1.36754
8.1,-1.35595
8.15,-1.35105
8.2,-1.3373
8.25,-1.32628
8.3,-1.32981
8.35,-1.32913
8.4,-1.34156
8.45,-1.341
8.5,-1.3309
8.55,-1.32957
8.6,-1.32042
8.65,-1.32185
8.7,-1.32827
8.75,-1.33145
8.8,-1.33499
8.85,-1.33047
8.9,-1.33714
8.95,-1.33851
9,-1.33626
9.05,-1.33413
9.1,-1.32842
9.15,-1.32565
9.2,-1.31432
9.25,-1.29811
9.3,-1.29036
9.35,-1.26918
9.4,-1.25586
9.45,-1.23586
9.5,-1.22761
9.55,-1.20045
9.6,-1.16221
9.65,-1.1288
9.7,-1.08136
9.75,-1.01712
9.8,-0.955361
9.85,-0.875874
9.9,-0.792878
9.95,-0.672941
10,-0.544739
10.05,-0.405844
10.1,-0.255581
10.15,-0.0981506
10.2,0.0573618
10.25,0.211724
10.3,0.35732
10.35,0.485483
10.4,0.600816
10.45,0.697688
10.5,0.768907
10.55,0.820144
10.6,0.84505
10.65,0.841735
10.7,0.807003
