tau,mean,std_err
0,1.48642,0.0119856
0.05,1.48495,0.0120295
0.1,1.48061,0.0121608
0.15,1.47348,0.0123803
0.2,1.46369,0.0126886
0.25,1.45138,0.0130854
0.3,1.43674,0.0135694
0.35,1.42,0.0141376
0.4,1.40137,0.0147851
0.45,1.38108,0.0155055
0.5,1.35938,0.0162906
0.55,1.33649,0.0171318
0.6,1.31262,0.0180199
0.65,1.28798,0.0189456
0.7,1.26275,0.0198997
0.75,1.2371,0.0208738
0.8,1.21118,0.02186
0.85,1.18512,0.0228511
0.9,1.15904,0.0238408
0.95,1.13304,0.0248235
1,1.10721,0.0257945
1.05,1.08161,0.0267494
1.1,1.0563,0.0276849
1.15,1.03132,0.0285978
1.2,1.00673,0.0294858
1.25,0.982538,0.0303471
1.3,0.958774,0.0311803
1.35,0.935451,0.0319842
1.4,0.912579,0.0327585
1.45,0.890163,0.0335029
1.5,0.868204,0.0342176
1.55,0.846701,0.0349032
1.6,0.82565,0.0355602
1.65,0.805046,0.0361898
1.7,0.784883,0.0367932
1.75,0.765154,0.0373718
1.8,0.745851,0.0379272
1.85,0.726968,0.0384611
1.9,0.708498,0.0389753
1.95,0.690432,0.0394719
2,0.672766,0.0399528
2.05,0.655491,0.0404201
2.1,0.638602,0.0408758
2.15,0.622094,0.041322
2.2,0.60596,0.0417609
2.25,0.590196,0.0421941
2.3,0.574795,0.0426235
2.35,0.559752,0.0430507
2.4,0.545062,0.043477
2.45,0.530717,0.0439035
2.5,0.516711,0.0443311
2.55,0.503037,0.04476
2.6,0.489688,0.0451906
2.65,0.476658,0.0456225
2.7,0.46394,0.046055
2.75,0.451526,0.0464872
2.8,0.439412,0.0469174
2.85,0.427592,0.047344
2.9,0.416058,0.0477647
2.95,0.404809,0.0481772
3,0.39384,0.048579
3.05,0.383149,0.0489671
3.1,0.372734,0.049339
3.15,0.362592,0.0496918
3.2,0.352724,0.0500229
3.25,0.343127,0.0503299
3.3,0.333801,0.0506106
3.35,0.324744,0.0508634
3.4,0.315954,0.0510867
3.45,0.307426,0.0512795
3.5,0.299155,0.0514413
3.55,0.291136,0.051572
3.6,0.283362,0.0516718
3.65,0.275825,0.0517419
3.7,0.268516,0.0517834
3.75,0.261423,0.051798
3.8,0.254537,0.0517881
3.85,0.247847,0.051756
3.9,0.241342,0.0517046
3.95,0.235012,0.0516367
4,0.22885,0.0515553
4.05,0.222846,0.0514636
4.1,0.216994,0.0513641
4.15,0.211291,0.0512598
4.2,0.205733,0.0511528
4.25,0.20032,0.0510455
4.3,0.195052,0.0509392
4.35,0.189932,0.0508356
4.4,0.184964,0.0507357
4.45,0.180153,0.0506403
4.5,0.175504,0.0505499
4.55,0.171024,0.0504648
4.6,0.166718,0.0503852
4.65,0.162591,0.0503111
4.7,0.158647,0.0502424
4.75,0.154888,0.0501791
4.8,0.151317,0.050121
4.85,0.147932,0.0500682
4.9,0.14473,0.0500205
4.95,0.141707,0.0499781
5,0.138857,0.0499411
5.05,0.136173,0.0499097
5.1,0.133647,0.0498842
5.15,0.131269,0.0498652
5.2,0.12903,0.0498531
5.25,0.126918,0.0498482
5.3,0.124925,0.0498512
5.35,0.123039,0.0498627
5.4,0.121249,0.0498833
5.45,0.119547,0.0499136
5.5,0.117921,0.0499543
5.55,0.116362,0.0500059
5.6,0.114862,0.050069
5.65,0.113411,0.0501438
5.7,0.112001,0.0502305
5.75,0.110626,0.0503292
5.8,0.109278,0.0504396
5.85,0.107952,0.050561
5.9,0.106642,0.0506926
5.95,0.105345,0.0508335
6,0.104057,0.0509822
6.05,0.102774,0.0511372
6.1,0.101496,0.0512969
6.15,0.100222,0.0514595
6.2,0.0989514,0.0516234
6.25,0.0976856,0.0517867
6.3,0.0964258,0.0519478
6.35,0.0951733,0.0521048
6.4,0.0939292,0.052256
6.45,0.0926946,0.0523998
6.5,0.0914693,0.0525347
6.55,0.0902533,0.0526591
6.6,0.0890449,0.0527717
6.65,0.0878412,0.0528711
6.7,0.0866388,0.052956
6.75,0.0854332,0.0530251
6.8,0.0842186,0.0530772
6.85,0.0829901,0.0531115
6.9,0.0817412,0.053127
6.95,0.0804671,0.0531232
7,0.0791613,0.0530998
7.05,0.0778197,0.0530563
7.1,0.0764382,0.0529932
7.15,0.0750149,0.0529108
7.2,0.073548,0.0528099
7.25,0.0720374,0.0526913
7.3,0.0704849,0.0525564
7.35,0.0688925,0.0524065
7.4,0.0672633,0.0522433
7.45,0.0656019,0.0520685
7.5,0.0639133,0.0518839
7.55,0.0622036,0.0516913
7.6,0.0604782,0.0514925
7.65,0.0587449,0.0512894
7.7,0.0570111,0.0510836
7.75,0.0552846,0.0508767
7.8,0.0535729,0.0506701
7.85,0.0518834,0.050465
7.9,0.0502234,0.0502624
7.95,0.0485999,0.050063
8,0.0470198,0.0498672
8.05,0.0454888,0.0496754
8.1,0.0440123,0.0494875
8.15,0.0425948,0.0493033
8.2,0.0412392,0.0491221
8.25,0.0399472,0.0489434
8.3,0.0387199,0.0487661
8.35,0.0375564,0.0485895
8.4,0.0364542,0.0484126
8.45,0.0354099,0.0482342
8.5,0.034419,0.0480535
8.55,0.0334757,0.0478698
8.6,0.032574,0.0476823
8.65,0.031707,0.0474907
8.7,0.0308682,0.0472946
8.75,0.030051,0.0470943
8.8,0.0292499,0.0468901
8.85,0.0284591,0.0466827
8.9,0.0276736,0.0464728
8.95,0.0268902,0.0462615
9,0.0261069,0.0460503
9.05,0.0253223,0.0458405
9.1,0.024535,0.0456336
9.15,0.0237448,0.0454316
9.2,0.0229522,0.045236
9.25,0.0221578,0.0450487
9.3,0.0213617,0.0448714
9.35,0.0205633,0.0447059
9.4,0.0197614,0.0445538
9.45,0.0189534,0.0444167
9.5,0.0181367,0.044296
9.55,0.0173071,0.0441928
9.6,0.0164602,0.0441082
9.65,0.0155908,0.0440428
9.7,0.0146932,0.0439973
9.75,0.0137626,0.043972
9.8,0.0127946,0.0439671
9.85,0.0117856,0.0439827
9.9,0.0107333,0.0440185
9.95,0.00963677,0.0440745
10,0.00849657,0.0441504
10.05,0.00731523,0.0442457
10.1,0.00609646,0.0443601
10.15,0.00484472,0.0444929
10.2,0.00356593,0.0446433
10.25,0.00226712,0.0448105
10.3,0.000955852,0.0449934
10.35,-0.00035985,0.0451909
10.4,-0.00167257,0.0454016
10.45,-0.00297483,0.0456242
10.5,-0.0042592,0.0458571
10.55,-0.0055197,0.0460987
10.6,-0.0067503,0.0463475
10.65,-0.00794803,0.0466021
10.7,-0.00911041,0.046861
10.75,-0.0102369,0.047123
10.8,-0.0113281,0.0473871
10.85,-0.0123867,0.0476525
10.9,-0.0134157,0.0479183
10.95,-0.0144196,0.0481841
