tau,mean,std_err
0,1.36639,0.0180397
0.05,1.3201,0.0181563
0.1,1.27803,0.0182652
0.15,1.23942,0.0184943
0.2,1.20374,0.0188668
0.25,1.17003,0.0193692
0.3,1.13787,0.0198523
0.35,1.10725,0.0203366
0.4,1.07839,0.0208044
0.45,1.05057,0.0213506
0.5,1.0234,0.0219151
0.55,0.997739,0.0224527
0.6,0.973144,0.023061
0.65,0.949269,0.0236397
0.7,0.926492,0.0240728
0.75,0.904054,0.0245501
0.8,0.881007,0.0249057
0.85,0.858843,0.0252969
0.9,0.837881,0.0257541
0.95,0.817305,0.0261915
1,0.797272,0.0265333
1.05,0.778122,0.0269711
1.1,0.759033,0.0273767
1.15,0.741233,0.0277093
1.2,0.724319,0.0280714
1.25,0.706544,0.028448
1.3,0.689288,0.0288401
1.35,0.672601,0.029202
1.4,0.656061,0.0296257
1.45,0.639904,0.0299244
1.5,0.623991,0.0301654
1.55,0.608743,0.0304915
1.6,0.593888,0.0307983
1.65,0.580054,0.0311255
1.7,0.566783,0.0313948
1.75,0.553692,0.031701
1.8,0.541148,0.0320098
1.85,0.528557,0.0323511
1.9,0.516609,0.0326947
1.95,0.504632,0.0329961
2,0.494114,0.0333343
2.05,0.484365,0.0337252
2.1,0.474497,0.034024
2.15,0.464182,0.0342205
2.2,0.453151,0.0344304
2.25,0.443067,0.0346211
2.3,0.433131,0.0349102
2.35,0.422532,0.0350194
2.4,0.411706,0.0351988
2.45,0.401768,0.0353226
2.5,0.392632,0.0355139
2.55,0.383429,0.0357145
2.6,0.374563,0.0359054
2.65,0.366482,0.0361438
2.7,0.359251,0.036401
2.75,0.351873,0.0367297
2.8,0.344587,0.037035
2.85,0.336916,0.0373712
2.9,0.329402,0.0377152
2.95,0.322033,0.0380601
3,0.314925,0.0383614
3.05,0.308359,0.0386606
3.1,0.301481,0.0390641
3.15,0.29544,0.039394
3.2,0.290376,0.0396585
3.25,0.285521,0.0400234
3.3,0.280675,0.0402765
3.35,0.275206,0.0403961
3.4,0.269366,0.0404676
3.45,0.263914,0.0406775
3.5,0.258503,0.0408349
3.55,0.253676,0.0409553
3.6,0.248201,0.0410952
3.65,0.243077,0.0412665
3.7,0.238436,0.0413482
3.75,0.233226,0.0414546
3.8,0.227951,0.0414738
3.85,0.223064,0.0416371
3.9,0.218588,0.0418027
3.95,0.213812,0.0419844
4,0.209659,0.0420174
4.05,0.204939,0.0421474
4.1,0.199938,0.042432
4.15,0.195955,0.0427388
4.2,0.192151,0.043087
4.25,0.188562,0.0434518
4.3,0.184349,0.0438518
4.35,0.181133,0.0441307
4.4,0.177542,0.0444237
4.45,0.173198,0.044771
4.5,0.169747,0.0450769
4.55,0.166866,0.0452864
4.6,0.163508,0.0455025
4.65,0.16064,0.0457259
4.7,0.157646,0.0459382
4.75,0.154477,0.0460977
4.8,0.150685,0.046176
4.85,0.146666,0.0462475
4.9,0.142928,0.0462132
4.95,0.139138,0.0461687
5,0.135251,0.0462384
5.05,0.132291,0.0461964
5.1,0.129475,0.0461378
5.15,0.127623,0.0460577
5.2,0.125547,0.0458432
5.25,0.123849,0.0455344
5.3,0.121524,0.0452101
5.35,0.119552,0.0449481
5.4,0.11733,0.0447815
5.45,0.115686,0.0447515
5.5,0.114019,0.0446925
5.55,0.112612,0.0447076
5.6,0.109866,0.0447986
5.65,0.107433,0.0448334
5.7,0.105474,0.0447173
5.75,0.103258,0.0445648
5.8,0.101906,0.0444381
5.85,0.100455,0.0442958
5.9,0.0992511,0.0441415
5.95,0.0973904,0.0439411
6,0.0946263,0.0436802
6.05,0.091716,0.0435245
6.1,0.0885805,0.0434905
6.15,0.0855603,0.0435536
6.2,0.0830811,0.043578
6.25,0.0804495,0.0435161
6.3,0.0778509,0.0435701
6.35,0.0754743,0.0437182
6.4,0.0732187,0.0437031
6.45,0.0710187,0.043655
6.5,0.0688776,0.0434899
6.55,0.0670232,0.0432561
6.6,0.0650553,0.0430838
6.65,0.0622182,0.0429978
6.7,0.060003,0.0429829
6.75,0.058107,0.0430754
6.8,0.0566991,0.0430599
6.85,0.055129,0.043068
6.9,0.0524355,0.0431855
6.95,0.0504096,0.0432491
7,0.0489253,0.0432808
7.05,0.0471163,0.0432257
7.1,0.0451714,0.0432319
7.15,0.0432838,0.0432285
7.2,0.0411729,0.0431931
7.25,0.0396091,0.0431203
7.3,0.0372861,0.0429609
7.35,0.0349491,0.0428354
7.4,0.0326367,0.0428489
7.45,0.0302896,0.0427826
7.5,0.0282212,0.0427685
7.55,0.0255061,0.0427636
7.6,0.023504,0.0426994
