tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
0,1.82014,6.47852e-05,3.47648,0.000334437,0.163585,9.96829e-05,6.70741,0.00107634
0.05,1.80068,0.000344275,3.47507,0.000338801,0.162168,0.000104051,6.63561,0.00198139
0.1,1.77946,0.000693766,3.47089,0.000351979,0.157996,0.00011725,6.5587,0.00359191
0.15,1.75655,0.00106613,3.4642,0.000374217,0.151298,0.000139542,6.47708,0.00532182
0.2,1.73206,0.00146889,3.45533,0.000405878,0.14243,0.000171309,6.39131,0.00710869
0.25,1.70611,0.0019093,3.44474,0.000447382,0.131837,0.000212986,6.30196,0.00894068
0.3,1.67885,0.00239303,3.43291,0.000499117,0.120014,0.000264982,6.20959,0.0108143
0.35,1.65042,0.00292397,3.42036,0.000561352,0.107464,0.000327587,6.11466,0.01273
0.4,1.62096,0.00350416,3.40756,0.000634136,0.0946605,0.000400878,6.01748,0.0146925
0.45,1.59062,0.00413398,3.39492,0.000717212,0.0820214,0.000484637,5.91826,0.0167122
0.5,1.55955,0.00481236,3.38279,0.000809949,0.0698902,0.000578277,5.81714,0.0188042
0.55,1.52788,0.00553708,3.37143,0.0009113,0.0585283,0.000680811,5.71415,0.0209853
0.6,1.49574,0.0063051,3.36101,0.00101981,0.0481156,0.00079085,5.60934,0.0232721
0.65,1.46324,0.00711289,3.35166,0.00113365,0.0387576,0.000906656,5.50275,0.0256791
0.7,1.4305,0.00795669,3.34339,0.00125073,0.030496,0.00102624,5.39446,0.0282185
0.75,1.3976,0.00883273,3.33622,0.00136886,0.0233214,0.00114749,5.28461,0.0309009
0.8,1.36465,0.00973738,3.33009,0.00148583,0.0171865,0.00126833,5.17338,0.0337348
0.85,1.33172,0.0106673,3.32492,0.00159967,0.0120177,0.00138688,5.06096,0.0367256
0.9,1.29888,0.0116195,3.32062,0.00170868,0.00772538,0.00150154,4.94758,0.0398758
0.95,1.2664,0.0125877,3.31711,0.00181155,0.0042123,0.00161107,4.83422,0.0431792
1,1.23413,0.013577,3.31428,0.00190732,0.00137974,0.00171452,4.72033,0.046645
1.05,1.20213,0.0145855,3.31203,0.00199532,-0.000867814,0.0018112,4.60611,0.0502636
1.1,1.17064,0.0156151,3.31028,0.00207506,-0.00261965,0.00190053,4.49252,0.0540869
1.15,1.13949,0.0166682,3.30894,0.0021461,-0.0039569,0.00198195,4.37901,0.0580575
1.2,1.10871,0.0177448,3.30795,0.00220799,-0.00495147,0.00205486,4.26582,0.0621601
1.25,1.07853,0.0188336,3.30723,0.00226035,-0.00566565,0.00211869,4.15391,0.066345
1.3,1.04875,0.0199485,3.30675,0.0023029,-0.00615207,0.00217301,4.04279,0.0706514
1.35,1.0194,0.0210898,3.30644,0.00233572,-0.00645398,0.00221776,3.93269,0.0750776
1.4,0.990868,0.0222401,3.30629,0.0023594,-0.00660577,0.00225344,3.82529,0.0795934
