tau,xI,Vg
-2,-1.39996,7.83936
-1.99499,-1.39996,7.83934
-1.98999,-1.39996,7.83932
-1.98498,-1.39996,7.8393
-1.97997,-1.39996,7.83928
-1.97497,-1.39996,7.83926
-1.96996,-1.39995,7.83924
-1.96496,-1.39995,7.83922
-1.95995,-1.39995,7.8392
-1.95494,-1.39995,7.83917
-1.94994,-1.39995,7.83915
-1.94493,-1.39995,7.83912
-1.93992,-1.39995,7.8391
-1.93492,-1.39994,7.83907
-1.92991,-1.39994,7.83905
-1.92491,-1.39994,7.83902
-1.9199,-1.39994,7.83899
-1.91489,-1.39994,7.83896
-1.90989,-1.39994,7.83893
-1.90488,-1.39993,7.8389
-1.89987,-1.39993,7.83887
-1.89487,-1.39993,7.83884
-1.88986,-1.39993,7.83881
-1.88486,-1.39993,7.83877
-1.87985,-1.39992,7.83874
-1.87484,-1.39992,7.8387
-1.86984,-1.39992,7.83867
-1.86483,-1.39992,7.83863
-1.85982,-1.39992,7.83859
-1.85482,-1.39991,7.83855
-1.84981,-1.39991,7.83851
-1.84481,-1.39991,7.83847
-1.8398,-1.39991,7.83842
-1.83479,-1.3999,7.83838
-1.82979,-1.3999,7.83833
-1.82478,-1.3999,7.83828
-1.81977,-1.39989,7.83824
-1.81477,-1.39989,7.83819
-1.80976,-1.39989,7.83813
-1.80476,-1.39989,7.83808
-1.79975,-1.39988,7.83803
-1.79474,-1.39988,7.83797
-1.78974,-1.39988,7.83791
-1.78473,-1.39987,7.83785
-1.77972,-1.39987,7.83779
-1.77472,-1.39986,7.83773
-1.76971,-1.39986,7.83766
-1.76471,-1.39986,7.8376
-1.7597,-1.39985,7.83753
-1.75469,-1.39985,7.83746
-1.74969,-1.39984,7.83739
-1.74468,-1.39984,7.83731
-1.73967,-1.39984,7.83724
-1.73467,-1.39983,7.83716
-1.72966,-1.39983,7.83708
-1.72466,-1.39982,7.83699
-1.71965,-1.39982,7.83691
-1.71464,-1.39981,7.83682
-1.70964,-1.39981,7.83673
-1.70463,-1.3998,7.83664
