tau,x
0,1.67024
0.05,1.82822
0.1,1.95714
0.15,1.77517
0.2,1.41129
0.25,1.6049
0.3,1.68686
0.35,1.79256
0.4,1.77027
0.45,1.50086
0.5,1.02787
0.55,1.13067
0.6,1.12271
0.65,1.6693
0.7,1.52015
0.75,1.68155
0.8,1.75838
0.85,1.76583
0.9,1.8716
0.95,1.56064
1,1.55204
1.05,1.52943
1.1,1.65104
1.15,1.47925
1.2,1.08092
1.25,0.897476
1.3,0.600591
1.35,0.436574
1.4,0.665696
1.45,0.782007
1.5,0.759322
1.55,0.318616
1.6,0.450041
1.65,0.153828
1.7,-0.138281
1.75,-0.169254
1.8,-0.497823
1.85,-0.169041
1.9,0.0130394
1.95,-0.0463098
2,-0.0705967
2.05,-0.648505
2.1,-1.04151
2.15,-1.8397
2.2,-2.08119
2.25,-0.988447
2.3,-1.41211
2.35,-1.35806
2.4,-1.20561
2.45,-1.30736
2.5,-1.24311
2.55,-0.773173
2.6,-0.905895
2.65,-1.0937
2.7,-1.78704
2.75,-1.28058
2.8,-0.953877
2.85,-0.757162
2.9,-1.00056
2.95,-1.05499
3,-0.875087
3.05,-1.53283
3.1,-1.66824
3.15,-1.18684
3.2,-1.43069
3.25,-1.80792
3.3,-1.68403
3.35,-1.17235
3.4,-0.901362
3.45,-1.41099
3.5,-0.854475
3.55,-0.617633
3.6,-0.713625
3.65,-0.822828
3.7,-0.539059
3.75,-0.874367
3.8,-0.68499
3.85,-1.05376
3.9,-1.07538
3.95,-1.01922
4,-0.93745
4.05,-1.06013
4.1,-1.01321
4.15,-0.77405
4.2,-1.41469
4.25,-1.23085
4.3,-1.14793
4.35,-1.2904
4.4,-1.92568
4.45,-1.90127
4.5,-1.70491
4.55,-1.9976
4.6,-1.73511
4.65,-2.03178
4.7,-1.535
4.75,-1.33402
4.8,-1.01948
4.85,-0.741288
4.9,-1.01883
4.95,-0.850046
5,-0.44218
5.05,0.0565006
5.1,0.0790286
5.15,0.0091784
5.2,0.464242
5.25,0.875255
5.3,1.2884
5.35,1.35137
5.4,1.12088
5.45,1.35762
5.5,1.57241
5.55,1.77686
5.6,1.11422
5.65,1.41969
5.7,1.35459
5.75,1.25788
5.8,1.29397
5.85,1.59967
5.9,1.53386
5.95,1.56425
6,1.90554
6.05,2.27021
6.1,2.02411
6.15,1.93097
6.2,1.90889
6.25,1.74845
6.3,1.23036
6.35,1.7449
6.4,1.60826
6.45,1.3588
6.5,1.13745
6.55,1.1242
6.6,1.00038
6.65,1.02358
6.7,0.911193
6.75,1.03191
6.8,1.66962
6.85,1.25913
6.9,1.3583
6.95,1.67813
7,1.68957
7.05,1.7445
7.1,1.37952
7.15,1.3345
7.2,1.71563
7.25,1.15074
7.3,0.668069
7.35,0.679086
7.4,0.865695
7.45,1.07202
7.5,0.851096
7.55,1.04364
7.6,0.875971
7.65,0.892534
7.7,1.12056
7.75,1.34387
7.8,0.821987
7.85,1.04785
7.9,0.856998
7.95,1.37094
8,1.15086
8.05,1.32307
8.1,1.05588
8.15,0.902885
8.2,1.00912
8.25,1.2667
8.3,1.30044
8.35,1.2273
8.4,1.14073
8.45,1.26687
8.5,1.27825
8.55,1.48007
8.6,1.3228
8.65,1.93282
8.7,1.56477
8.75,1.436
8.8,1.66758
8.85,1.21906
8.9,0.830814
8.95,0.704495
9,0.859072
9.05,0.641843
9.1,0.510575
9.15,0.682395
9.2,1.5074
9.25,1.07231
9.3,0.61799
9.35,0.789281
9.4,0.969756
9.45,0.9186
9.5,1.47123
9.55,1.66001
9.6,1.78459
9.65,1.51272
9.7,1.61188
9.75,1.63923
9.8,1.85978
9.85,1.88222
9.9,1.99516
9.95,2.01877
10,1.69691
10.05,1.10296
10.1,1.34425
10.15,1.63691
10.2,1.68814
10.25,1.57716
10.3,1.23073
10.35,1.66511
10.4,1.59084
10.45,1.75649
10.5,1.96815
10.55,1.98173
10.6,2.17209
10.65,2.42649
10.7,2.4456
10.75,2.28696
10.8,1.70849
10.85,1.44312
10.9,1.22237
10.95,1.88049
11,2.0546
11.05,1.73087
11.1,1.83751
11.15,1.73016
11.2,1.2226
11.25,1.09897
11.3,0.517244
11.35,0.713892
11.4,0.247902
11.45,0.748709
11.5,1.10158
11.55,1.34987
11.6,0.86454
11.65,0.810483
11.7,0.89337
11.75,0.877814
11.8,0.879722
11.85,1.45118
11.9,1.55787
11.95,1.64167
12,0.857838
12.05,1.17105
12.1,1.07817
12.15,0.953907
12.2,1.11054
12.25,1.40234
12.3,1.53308
12.35,1.80876
12.4,1.86159
12.45,1.69279
12.5,1.38243
12.55,1.09744
12.6,1.22524
12.65,1.12637
12.7,1.44797
12.75,1.61764
12.8,1.21096
12.85,1.47453
12.9,0.918398
12.95,0.540892
13,0.366995
13.05,-0.30378
13.1,-0.343718
13.15,-0.782096
13.2,-0.868263
13.25,-0.617783
13.3,-0.843572
13.35,-0.906922
13.4,-0.774572
13.45,-1.10772
13.5,-1.33733
13.55,-1.80162
13.6,-1.7847
13.65,-1.38179
13.7,-1.77414
13.75,-2.12257
13.8,-2.06998
13.85,-1.63317
13.9,-1.35127
13.95,-1.26058
14,-0.868917
14.05,-0.955912
14.1,-1.49539
14.15,-1.66969
14.2,-1.3721
14.25,-1.80527
14.3,-1.85012
14.35,-1.95168
14.4,-2.35437
14.45,-2.50746
14.5,-2.07085
14.55,-2.0415
14.6,-2.04964
14.65,-1.68558
14.7,-1.37869
14.75,-1.14215
14.8,-0.854087
14.85,-1.40502
14.9,-1.61024
14.95,-1.30396
15,-1.60919
15.05,-1.61397
15.1,-1.78889
15.15,-1.28403
15.2,-1.44146
15.25,-0.865763
15.3,-0.593493
15.35,-0.797479
15.4,-0.914814
15.45,-1.00194
15.5,-0.842234
15.55,-0.391937
15.6,0.0304564
15.65,-0.106783
15.7,0.0582994
15.75,0.636887
15.8,0.996332
15.85,1.37921
15.9,1.6817
15.95,1.82294
16,1.06567
16.05,1.36396
16.1,1.47879
16.15,1.4776
16.2,1.62854
16.25,2.16273
16.3,1.56714
16.35,1.43405
16.4,1.74046
16.45,1.80057
16.5,1.82278
16.55,1.0693
16.6,1.64279
16.65,2.09236
16.7,2.68479
16.75,2.70887
16.8,2.35609
16.85,1.96673
16.9,1.98669
16.95,1.79014
17,1.52182
17.05,1.22315
17.1,1.26636
17.15,1.13974
17.2,1.75027
17.25,2.06975
17.3,1.85769
17.35,1.03822
17.4,1.18815
17.45,1.24811
17.5,1.26802
17.55,1.33109
17.6,1.40143
17.65,1.36096
17.7,1.33527
17.75,1.26749
17.8,1.58389
17.85,1.83173
17.9,1.38797
17.95,1.28539
18,1.51198
18.05,1.07893
18.1,1.5179
18.15,1.20249
18.2,1.53655
18.25,1.87721
18.3,1.20003
18.35,0.911826
18.4,0.981049
18.45,0.816635
18.5,0.946296
18.55,1.15619
18.6,1.16795
18.65,1.06568
18.7,1.21448
18.75,1.00054
18.8,1.21239
18.85,1.25166
18.9,1.3587
18.95,1.02539
19,1.3495
19.05,1.16762
19.1,1.56297
19.15,1.70689
19.2,1.30645
19.25,1.60353
19.3,2.16616
19.35,2.53239
19.4,2.55536
19.45,1.59331
19.5,1.53959
19.55,1.22991
19.6,1.05928
19.65,1.72187
19.7,1.41565
19.75,1.90019
19.8,2.10186
19.85,1.84048
19.9,1.7552
19.95,1.46779
20,1.75956
20.05,1.60042
20.1,0.991855
20.15,1.12638
20.2,1.22895
20.25,1.46548
20.3,1.5877
20.35,1.81211
20.4,1.49881
20.45,1.81207
20.5,1.80375
20.55,1.50468
20.6,1.67272
20.65,1.80039
20.7,1.2353
20.75,1.17989
20.8,1.49879
20.85,1.41343
20.9,1.41382
20.95,1.23062
21,0.825446
21.05,1.17908
21.1,1.36167
21.15,1.23733
21.2,0.944317
21.25,1.094
21.3,1.08882
21.35,0.923946
21.4,1.01553
21.45,0.304661
21.5,0.156044
21.55,0.329424
21.6,-0.296206
21.65,-0.509954
21.7,-0.444855
21.75,-0.518215
21.8,-0.482726
21.85,-0.727393
21.9,-0.88447
21.95,-0.887514
22,-0.71271
22.05,-0.979343
22.1,-0.632489
22.15,-0.852864
22.2,-1.17241
22.25,-0.715463
22.3,-1.05545
22.35,-0.660174
22.4,-0.532259
22.45,-0.835848
22.5,-1.14108
22.55,-1.02645
22.6,-1.08993
22.65,-0.626114
22.7,-0.95095
22.75,-0.980879
22.8,-1.15327
22.85,-1.23166
22.9,-1.56133
22.95,-1.01688
23,-0.741838
23.05,-1.19628
23.1,-1.58101
23.15,-1.72565
23.2,-1.45565
23.25,-1.65172
23.3,-1.4127
23.35,-1.36323
23.4,-1.58785
23.45,-1.18986
23.5,-1.08744
23.55,-1.15352
23.6,-0.819151
23.65,-0.930694
23.7,-0.975771
23.75,-0.444814
23.8,-0.274389
23.85,-0.232693
23.9,-1.06888
23.95,-1.12527
24,-1.14072
24.05,-1.22482
24.1,-1.34938
24.15,-1.43913
24.2,-1.16971
24.25,-1.08436
24.3,-1.62813
24.35,-2.21554
24.4,-2.23851
24.45,-2.08866
24.5,-1.91783
24.55,-1.6517
24.6,-1.58605
24.65,-1.38797
24.7,-1.89445
24.75,-1.5795
24.8,-1.23112
24.85,-1.203
24.9,-0.901777
24.95,-1.06253
25,-0.809981
25.05,-0.814161
25.1,-0.42235
25.15,0.10127
25.2,0.0823413
25.25,0.775156
25.3,1.0637
25.35,0.890959
25.4,0.737304
25.45,0.42807
25.5,0.439414
25.55,0.863987
25.6,1.31408
25.65,1.35169
25.7,1.35211
25.75,1.29825
25.8,1.25964
25.85,1.33756
25.9,1.62032
25.95,1.28267
26,1.29613
26.05,1.10186
26.1,0.808294
26.15,1.02046
26.2,1.52319
26.25,1.50997
26.3,0.710746
26.35,0.504956
26.4,0.787901
26.45,1.0499
26.5,0.81675
26.55,0.765357
26.6,1.019
26.65,1.0183
26.7,0.897765
26.75,0.705131
26.8,1.32095
26.85,1.47072
26.9,1.3724
26.95,1.39881
27,1.23754
27.05,1.61269
27.1,1.62433
27.15,1.98891
27.2,1.57656
27.25,1.57919
27.3,1.78339
27.35,1.50989
27.4,1.80779
27.45,1.43572
27.5,1.91635
27.55,1.70062
27.6,1.26861
27.65,1.14216
27.7,1.28519
27.75,1.34091
27.8,1.15294
27.85,0.692213
27.9,1.51848
27.95,1.55437
28,1.29866
28.05,1.29686
28.1,1.301
28.15,1.22312
28.2,1.28599
28.25,1.44377
28.3,1.13649
28.35,1.30802
28.4,1.58616
28.45,1.91436
28.5,1.56093
28.55,1.58587
28.6,1.24623
28.65,1.38703
28.7,1.05642
28.75,0.764197
28.8,0.734961
28.85,1.10053
28.9,1.00315
28.95,0.855479
29,1.04419
29.05,1.10829
29.1,1.4312
29.15,1.79349
29.2,1.5945
29.25,0.880096
29.3,0.451944
29.35,0.719773
29.4,1.16236
29.45,1.35133
29.5,1.18842
29.55,1.21282
29.6,1.25245
29.65,1.23887
29.7,1.06027
29.75,1.4615
29.8,1.16213
29.85,1.15962
29.9,1.13042
29.95,1.14754
30,0.627077
30.05,0.592212
30.1,0.862751
30.15,1.08393
30.2,1.37962
30.25,1.47795
30.3,1.25292
30.35,1.26001
30.4,1.31257
30.45,0.93148
30.5,1.57077
30.55,1.86137
30.6,1.84771
30.65,1.83554
30.7,1.7975
30.75,1.6851
30.8,1.45767
30.85,1.496
30.9,1.55329
30.95,1.36039
31,1.5493
31.05,1.02432
31.1,1.07472
31.15,1.11321
31.2,1.27851
31.25,1.24114
31.3,1.00026
31.35,0.941904
31.4,1.53074
31.45,1.80725
31.5,1.64278
31.55,1.65322
31.6,1.89233
31.65,1.35466
31.7,1.32826
31.75,1.38883
31.8,1.72855
31.85,1.29947
31.9,1.44566
31.95,1.23235
32,0.992483
32.05,1.08591
32.1,1.00215
32.15,0.983875
32.2,1.03561
32.25,1.12072
32.3,1.2183
32.35,1.71087
32.4,1.44302
32.45,1.63788
32.5,1.35788
32.55,1.35546
32.6,1.24286
32.65,1.37118
32.7,1.67495
32.75,1.35947
32.8,1.3694
32.85,1.58798
32.9,2.06054
32.95,2.17967
33,2.30226
33.05,2.01273
33.1,1.50733
33.15,1.30379
33.2,0.535355
33.25,0.337442
33.3,0.149952
33.35,-0.111649
33.4,-0.539273
33.45,-0.411899
33.5,-1.24344
33.55,-1.30868
33.6,-1.36025
33.65,-1.25629
33.7,-1.61119
33.75,-1.93061
