tau,x
0,2.19493
0.05,0.705727
0.1,0.85122
0.15,1.60234
0.2,2.5309
0.25,1.60817
0.3,0.703062
0.35,0.887864
0.4,1.13414
0.45,1.92401
0.5,2.15581
0.55,1.40342
0.6,1.27471
0.65,2.03664
0.7,1.8775
0.75,1.47521
0.8,1.65176
0.85,1.8652
0.9,1.91836
0.95,1.64833
1,1.96918
1.05,0.76417
1.1,1.82156
1.15,1.88369
1.2,1.25052
1.25,0.382683
1.3,0.846476
1.35,1.04969
1.4,-0.210439
1.45,0.252122
1.5,1.40493
1.55,0.616467
1.6,0.477425
1.65,-0.287003
1.7,-0.261447
1.75,-0.676364
1.8,-1.00488
1.85,-1.39277
1.9,-0.616291
1.95,-2.10285
2,-1.30419
2.05,-0.930783
2.1,-1.93768
2.15,-0.921403
2.2,-2.15134
2.25,-1.71059
2.3,-2.83928
2.35,-1.0711
2.4,-0.697631
2.45,-1.17006
2.5,-1.50297
2.55,-1.35792
2.6,-1.07419
2.65,-0.572276
2.7,-1.02812
2.75,-1.11902
2.8,-1.78027
2.85,-1.04647
2.9,-1.18249
2.95,-1.37013
3,-1.03079
3.05,-1.80353
3.1,-1.43379
3.15,-0.972064
3.2,-2.19318
3.25,-2.00098
3.3,-1.45035
3.35,-0.501341
3.4,-2.50756
3.45,-0.898921
3.5,-1.90164
3.55,-1.31055
3.6,-1.74999
3.65,-0.496235
3.7,-1.30191
3.75,-2.83863
3.8,-0.525093
3.85,-2.03267
3.9,-2.11072
3.95,-1.9847
4,-1.4518
4.05,-1.60371
4.1,-0.0440151
4.15,-1.04677
4.2,-0.509021
4.25,-1.09186
4.3,-1.72976
4.35,-1.19802
4.4,-1.34583
4.45,-1.7097
4.5,-0.160134
4.55,-1.58377
4.6,-0.705677
4.65,-1.11659
4.7,-1.1608
4.75,-1.30612
4.8,-1.7335
4.85,-1.51767
4.9,-0.678971
4.95,-0.157069
5,-1.30918
5.05,-0.889376
5.1,-0.860518
5.15,-0.718268
5.2,-0.594111
5.25,0.0301645
5.3,-0.00970534
5.35,0.685321
5.4,1.52752
5.45,1.26466
5.5,0.478532
5.55,1.21533
5.6,0.948535
5.65,0.42568
5.7,0.515638
5.75,2.12538
5.8,0.668811
5.85,0.55826
5.9,1.21659
5.95,0.178565
6,1.80136
6.05,2.04226
6.1,0.133428
6.15,0.475051
6.2,2.2348
6.25,1.35239
6.3,2.39961
6.35,1.05471
6.4,1.35284
6.45,1.76895
6.5,1.36592
6.55,1.40309
6.6,1.67452
6.65,1.55189
6.7,2.11244
6.75,2.23001
6.8,1.82009
6.85,1.66801
6.9,1.05061
6.95,0.0971561
7,1.20477
7.05,1.39097
7.1,0.966618
7.15,1.81291
7.2,1.52764
7.25,0.473222
7.3,1.16584
7.35,1.51722
7.4,1.02035
7.45,1.99832
7.5,0.62355
7.55,1.0854
7.6,1.59785
7.65,1.7112
7.7,1.95801
7.75,1.132
7.8,2.52929
7.85,0.596825
7.9,0.564939
7.95,1.97291
8,1.49999
8.05,1.2018
8.1,1.83365
8.15,1.88133
8.2,1.80886
8.25,0.934691
8.3,1.43142
8.35,1.41047
8.4,0.589084
8.45,0.412116
8.5,1.84848
8.55,0.700031
