tau,x
0,1.39962
0.05,1.3995
0.1,1.39934
0.15,1.39912
0.2,1.39884
0.25,1.39846
0.3,1.39796
0.35,1.39731
0.4,1.39644
0.45,1.39529
0.5,1.39377
0.55,1.39177
0.6,1.38912
0.65,1.38562
0.7,1.381
0.75,1.37492
0.8,1.36691
0.85,1.35638
0.9,1.34257
0.95,1.32452
1,1.30099
1.05,1.27047
1.1,1.23114
1.15,1.18085
1.2,1.11719
1.25,1.03763
1.3,0.939788
1.35,0.821788
1.4,0.682807
1.45,0.523598
1.5,0.346915
1.55,0.157618
1.6,-0.0377018
1.65,-0.231564
1.7,-0.416706
1.75,-0.587128
1.8,-0.738764
1.85,-0.869662
1.9,-0.97974
1.95,-1.07029
2,-1.14343
2.05,-1.20165
2.1,-1.24745
2.15,-1.28315
2.2,-1.31078
2.25,-1.33204
2.3,-1.34833
2.35,-1.36077
2.4,-1.37025
2.45,-1.37746
2.5,-1.38293
2.55,-1.38708
2.6,-1.39022
2.65,-1.3926
2.7,-1.39441
2.75,-1.39577
2.8,-1.3968
2.85,-1.39758
2.9,-1.39817
2.95,-1.39861
3,-1.39895
3.05,-1.3992
3.1,-1.39938
3.15,-1.39952
3.2,-1.39963
3.25,-1.3997
3.3,-1.39975
3.35,-1.39978
3.4,-1.39979
3.45,-1.39978
3.5,-1.39976
3.55,-1.39972
3.6,-1.39966
3.65,-1.39957
3.7,-1.39944
3.75,-1.39927
3.8,-1.39905
3.85,-1.39875
3.9,-1.39835
3.95,-1.39782
4,-1.39712
4.05,-1.39619
4.1,-1.39496
4.15,-1.39334
4.2,-1.39119
4.25,-1.38836
4.3,-1.38461
4.35,-1.37968
4.4,-1.37318
4.45,-1.36462
4.5,-1.35337
4.55,-1.33864
4.6,-1.31938
4.65,-1.29431
4.7,-1.26185
4.75,-1.22008
4.8,-1.16678
4.85,-1.09951
4.9,-1.01574
4.95,-0.91316
5,-0.790113
5.05,-0.646102
5.1,-0.482334
5.15,-0.30208
5.2,-0.110672
5.25,0.0849916
5.3,0.277379
5.35,0.459447
5.4,0.625619
5.45,0.772342
5.5,0.898153
5.55,1.00335
5.6,1.08948
5.65,1.15878
5.7,1.21377
5.75,1.25693
5.8,1.2905
5.85,1.31644
5.9,1.33639
5.95,1.35165
6,1.36331
6.05,1.37218
6.1,1.37892
6.15,1.38404
6.2,1.38792
6.25,1.39086
6.3,1.39309
6.35,1.39477
6.4,1.39605
6.45,1.39701
6.5,1.39774
6.55,1.39829
6.6,1.39871
6.65,1.39902
6.7,1.39926
6.75,1.39944
6.8,1.39958
6.85,1.39968
6.9,1.39976
6.95,1.39982
7,1.39986
7.05,1.3999
7.1,1.39992
7.15,1.39994
7.2,1.39996
7.25,1.39997
7.3,1.39997
7.35,1.39998
7.4,1.39999
7.45,1.39999
7.5,1.39999
7.55,1.39999
7.6,1.4
7.65,1.4
7.7,1.4
7.75,1.4
7.8,1.4
7.85,1.4
7.9,1.4
7.95,1.4
8,1.4
8.05,1.4
8.1,1.4
8.15,1.4
8.2,1.4
8.25,1.4
8.3,1.4
8.35,1.4
8.4,1.4
8.45,1.4
8.5,1.4
8.55,1.4
8.6,1.4
8.65,1.4
8.7,1.4
8.75,1.4
8.8,1.4
8.85,1.4
8.9,1.4
8.95,1.4
9,1.4
9.05,1.4
9.1,1.4
9.15,1.4
9.2,1.4
9.25,1.4
9.3,1.4
9.35,1.4
9.4,1.4
9.45,1.4
9.5,1.4
9.55,1.4
9.6,1.4
9.65,1.4
9.7,1.4
9.75,1.4
9.8,1.4
9.85,1.4
9.9,1.4
9.95,1.4
10,1.4
10.05,1.4
10.1,1.4
10.15,1.4
10.2,1.4
10.25,1.4
10.3,1.4
10.35,1.4
10.4,1.4
10.45,1.4
10.5,1.4
10.55,1.4
10.6,1.4
10.65,1.4
10.7,1.4
10.75,1.4
10.8,1.4
10.85,1.4
10.9,1.4
10.95,1.4
11,1.4
11.05,1.4
11.1,1.4
11.15,1.4
11.2,1.4
11.25,1.4
11.3,1.4
11.35,1.4
11.4,1.4
11.45,1.4
11.5,1.4
11.55,1.4
11.6,1.4
11.65,1.4
11.7,1.4
11.75,1.4
11.8,1.4
11.85,1.4
11.9,1.4
11.95,1.4
12,1.4
12.05,1.4
12.1,1.4
12.15,1.4
12.2,1.4
12.25,1.4
12.3,1.4
12.35,1.4
12.4,1.4
12.45,1.4
12.5,1.4
12.55,1.4
12.6,1.4
12.65,1.4
12.7,1.4
12.75,1.4
12.8,1.4
12.85,1.4
12.9,1.4
12.95,1.4
13,1.4
13.05,1.4
13.1,-1.4
13.15,-1.4
13.2,-1.4
13.25,-1.4
13.3,-1.4
13.35,-1.4
13.4,-1.4
13.45,-1.4
13.5,-1.4
13.55,-1.4
13.6,-1.4
13.65,-1.4
13.7,-1.4
13.75,-1.4
13.8,-1.4
13.85,-1.4
13.9,-1.4
13.95,-1.4
14,-1.4
14.05,-1.4
14.1,-1.4
14.15,-1.4
14.2,-1.4
14.25,-1.4
14.3,-1.4
14.35,-1.4
14.4,-1.4
14.45,-1.4
14.5,-1.4
14.55,-1.4
14.6,-1.4
14.65,-1.4
14.7,-1.4
14.75,-1.4
14.8,-1.4
14.85,-1.4
14.9,-1.4
14.95,-1.4
15,-1.4
15.05,-1.4
15.1,-1.4
15.15,-1.4
15.2,-1.4
15.25,-1.4
15.3,-1.4
15.35,-1.4
15.4,-1.4
15.45,-1.4
15.5,-1.4
15.55,-1.4
15.6,-1.4
15.65,1.4
15.7,1.4
15.75,1.4
15.8,1.4
15.85,1.4
15.9,1.4
15.95,1.4
16,1.4
16.05,1.4
16.1,1.4
16.15,1.4
16.2,1.4
16.25,1.4
16.3,1.4
16.35,1.4
16.4,1.4
16.45,1.4
16.5,1.4
16.55,1.4
16.6,1.4
16.65,1.4
16.7,1.4
16.75,1.4
16.8,1.4
16.85,1.4
16.9,1.4
16.95,1.4
17,1.4
17.05,1.4
17.1,1.4
17.15,1.4
17.2,1.4
17.25,1.4
17.3,1.4
17.35,1.4
17.4,1.4
17.45,1.4
17.5,1.4
17.55,1.4
17.6,1.4
17.65,1.4
17.7,1.4
17.75,1.4
17.8,1.4
17.85,1.4
17.9,1.4
17.95,1.4
18,1.4
18.05,1.4
18.1,1.4
18.15,1.4
18.2,1.4
18.25,1.4
18.3,1.4
18.35,1.4
18.4,1.4
18.45,1.4
18.5,1.4
18.55,1.4
18.6,1.4
18.65,1.4
18.7,1.4
18.75,1.4
18.8,1.4
18.85,1.4
18.9,1.4
18.95,1.4
19,1.4
19.05,1.4
19.1,1.4
19.15,1.4
19.2,1.4
19.25,1.4
19.3,1.4
19.35,1.4
19.4,1.4
19.45,1.4
19.5,1.4
19.55,1.4
19.6,1.4
19.65,1.4
19.7,1.4
19.75,1.4
19.8,1.4
19.85,1.4
19.9,1.4
19.95,1.4
20,1.4
20.05,1.4
20.1,1.4
20.15,1.4
20.2,1.4
20.25,1.4
20.3,1.4
20.35,1.4
20.4,1.4
20.45,1.4
20.5,1.4
20.55,1.4
20.6,1.4
20.65,1.4
20.7,1.4
