tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
0,1.91409,0.0120416,5.28366,0.0669115,1.60558,0.0271316,18.3571,0.420184
0.05,1.8685,0.0120221,4.95168,0.0646265,1.2736,0.0254392,16.3472,0.392705
0.1,1.82861,0.0119384,4.69247,0.062028,1.01439,0.0232757,14.8338,0.363359
0.15,1.79225,0.01181,4.48467,0.0592356,0.806588,0.020716,13.6655,0.331979
0.2,1.75863,0.0116675,4.32007,0.0562994,0.641987,0.0181126,12.7503,0.299386
0.25,1.72704,0.0115447,4.19255,0.0537628,0.514471,0.016152,12.0479,0.271771
0.3,1.69605,0.0114868,4.08859,0.0516608,0.410514,0.0146303,11.4645,0.246241
0.35,1.66583,0.011456,4.00474,0.0499242,0.326656,0.013285,10.9808,0.224256
0.4,1.63596,0.0114419,3.93908,0.0484732,0.260997,0.0120424,10.6019,0.207482
0.45,1.60612,0.0114179,3.885,0.0472453,0.206923,0.0113618,10.2808,0.194072
0.5,1.57611,0.0114901,3.84385,0.0465548,0.165771,0.0110784,10.0124,0.185863
0.55,1.5458,0.0116078,3.80808,0.0459668,0.129996,0.0113043,9.74594,0.179652
0.6,1.51502,0.0117848,3.7785,0.0453594,0.100422,0.011101,9.49517,0.172972
0.65,1.48416,0.0120809,3.75572,0.045123,0.0776375,0.0107822,9.26656,0.16916
0.7,1.45327,0.0124315,3.73671,0.0449291,0.0586309,0.0105315,9.03883,0.164463
0.75,1.42212,0.012793,3.71928,0.044523,0.0412051,0.0107294,8.81116,0.160219
0.8,1.39134,0.0132104,3.70874,0.0445891,0.0306614,0.0111448,8.6149,0.160028
0.85,1.36097,0.0136908,3.70128,0.0445093,0.0232023,0.0115069,8.44107,0.160389
0.9,1.3306,0.0142427,3.69616,0.0450469,0.018076,0.0114923,8.26702,0.164229
0.95,1.30009,0.0148214,3.69049,0.0456201,0.0124132,0.0112166,8.08553,0.166328
1,1.26941,0.0153863,3.6815,0.0459187,0.00341915,0.0112654,7.87276,0.167087
1.05,1.23975,0.0159498,3.67622,0.046495,-0.00186119,0.0114954,7.67656,0.168818
1.1,1.21019,0.0165408,3.67545,0.0470136,-0.00262601,0.0119422,7.498,0.170844
1.15,1.18117,0.0171913,3.67084,0.0473064,-0.00723628,0.0122149,7.31165,0.173543
1.2,1.15205,0.0179013,3.66601,0.0479418,-0.0120661,0.0124761,7.13419,0.179477
1.25,1.12331,0.0186313,3.66259,0.0480304,-0.0154942,0.0122554,6.95013,0.183516
1.3,1.09512,0.0193834,3.65972,0.0483582,-0.0183548,0.0120124,6.79051,0.186952
1.35,1.06749,0.0201706,3.65966,0.0489407,-0.0184231,0.012395,6.64393,0.190703
1.4,1.0399,0.0209724,3.65821,0.0492064,-0.01987,0.0124833,6.47398,0.193875
1.45,1.01209,0.0217421,3.65405,0.0493497,-0.0240279,0.0123039,6.28512,0.195339
1.5,0.984872,0.0225299,3.65067,0.0496887,-0.0274117,0.0124228,6.12045,0.200018
1.55,0.958022,0.0233759,3.65043,0.0495026,-0.0276498,0.0127418,5.94507,0.202453
1.6,0.93184,0.0242308,3.64989,0.0491901,-0.0281863,0.0127587,5.78212,0.203081
1.65,0.90611,0.0250928,3.64841,0.0486103,-0.0296742,0.0126063,5.6185,0.202954
1.7,0.880758,0.0259487,3.64838,0.0483578,-0.0297031,0.012438,5.47106,0.20578
1.75,0.856204,0.0268222,3.65047,0.0482691,-0.0276069,0.0125659,5.34587,0.211326
1.8,0.831693,0.0276844,3.65253,0.0482919,-0.0255519,0.0128124,5.21664,0.215648
1.85,0.807855,0.0284817,3.65321,0.0480116,-0.0248647,0.0127095,5.08182,0.21917
1.9,0.784295,0.0293442,3.65179,0.0479462,-0.0262908,0.0127724,4.91992,0.222084
1.95,0.761273,0.0302618,3.65395,0.0484106,-0.0241275,0.0132749,4.76028,0.22997
2,0.738469,0.0311584,3.65593,0.0484168,-0.0221478,0.0135101,4.60667,0.233769
2.05,0.716309,0.0320566,3.65699,0.0485828,-0.0210907,0.0138421,4.46274,0.238997
2.1,0.69398,0.0329341,3.65542,0.0486561,-0.0226605,0.0139723,4.30406,0.243696
2.15,0.672151,0.0337609,3.65384,0.0485444,-0.0242381,0.0139761,4.14001,0.246851
2.2,0.650673,0.0345522,3.65338,0.0481629,-0.0246992,0.0137502,3.98716,0.248725
2.25,0.629995,0.0353442,3.65467,0.047939,-0.0234101,0.0135375,3.84662,0.251717
