tauZ,Sint_over_S0
0.103049,-0.785912
0.211863,-0.712184
0.282746,-0.643411
0.339934,-0.579626
0.389101,-0.520777
0.432062,-0.466743
0.471762,-0.417349
0.508583,-0.372381
0.543272,-0.331597
0.57686,-0.294736
0.608444,-0.261528
0.639504,-0.231699
0.669324,-0.204979
0.698668,-0.181104
0.727223,-0.159821
0.755376,-0.140889
0.783015,-0.124082
0.810325,-0.109189
0.837292,-0.0960134
0.863998,-0.0843754
0.890469,-0.07411
0.916735,-0.0650672
0.942838,-0.0571106
0.968782,-0.0501174
0.994611,-0.0439772
1.02032,-0.0385906
1.04594,-0.0338692
1.07147,-0.0297339
1.09694,-0.0261143
1.12234,-0.0229483
1.14769,-0.0201804
1.17299,-0.017762
1.19826,-0.0156497
1.22348,-0.0138058
1.24868,-0.0121966
1.27385,-0.0107928
1.29901,-0.00956852
1.32413,-0.00850115
1.34925,-0.00757079
1.37435,-0.00676004
1.39943,-0.00605367
1.42451,-0.00543836
1.44957,-0.00490245
1.47463,-0.00443576
1.49968,-0.00402942
1.52472,-0.00367565
1.54976,-0.0033677
1.57479,-0.00309964
1.59982,-0.00286634
1.62484,-0.0026633
1.64986,-0.00248661
1.67488,-0.00233286
1.69989,-0.00219907
1.72491,-0.00208267
1.74992,-0.0019814
1.77493,-0.00189328
1.79994,-0.00181663
1.82495,-0.00174994
1.84995,-0.00169193
1.87496,-0.00164146
1.89997,-0.00159756
1.92497,-0.00155937
1.94997,-0.00152615
1.97498,-0.00149726
1.99998,-0.00147213
2.02498,-0.00145026
2.04999,-0.00143125
2.07499,-0.00141471
2.09999,-0.00140032
2.12499,-0.00138781
2.14999,-0.00137692
2.17499,-0.00136746
2.19999,-0.00135922
2.22499,-0.00135206
2.25,-0.00134583
2.275,-0.00134041
2.3,-0.0013357
2.325,-0.0013316
2.35,-0.00132804
2.375,-0.00132494
2.4,-0.00132224
2.425,-0.00131989
2.45,-0.00131785
2.475,-0.00131608
2.5,-0.00131454
2.525,-0.00131319
2.55,-0.00131203
2.575,-0.00131101
2.6,-0.00131013
2.625,-0.00130936
2.65,-0.00130869
2.675,-0.00130811
2.7,-0.00130761
2.725,-0.00130717
2.75,-0.00130678
2.775,-0.00130645
2.8,-0.00130616
2.825,-0.00130591
2.85,-0.00130569
2.875,-0.0013055
2.9,-0.00130534
2.925,-0.00130519
2.95,-0.00130507
2.975,-0.00130496
3,-0.00130486
3.025,-0.00130478
3.05,-0.00130471
3.075,-0.00130465
3.1,-0.00130459
3.125,-0.00130455
3.15,-0.00130451
3.175,-0.00130447
3.2,-0.00130444
3.225,-0.00130441
3.25,-0.00130439
3.275,-0.00130437
3.3,-0.00130435
3.325,-0.00130434
3.35,-0.00130432
3.375,-0.00130431
3.4,-0.0013043
3.425,-0.00130429
3.45,-0.00130428
3.475,-0.00130428
3.5,-0.00130427
3.525,-0.00130427
3.55,-0.00130426
3.575,-0.00130426
3.6,-0.00130425
3.625,-0.00130425
3.65,-0.00130425
3.675,-0.00130425
3.7,-0.00130425
3.725,-0.00130424
3.75,-0.00130424
3.775,-0.00130424
3.8,-0.00130424
3.825,-0.00130424
3.85,-0.00130424
3.875,-0.00130424
3.9,-0.00130424
3.925,-0.00130424
3.95,-0.00130424
3.975,-0.00130424
4,-0.00130423
4.025,-0.00130423
4.05,-0.00130423
4.075,-0.00130423
4.1,-0.00130423
4.125,-0.00130423
4.15,-0.00130423
4.175,-0.00130423
4.2,-0.00130423
4.225,-0.00130423
4.25,-0.00130423
4.275,-0.00130423
4.3,-0.00130423
4.325,-0.00130423
4.35,-0.00130423
4.375,-0.00130423
4.4,-0.00130423
4.425,-0.00130423
4.45,-0.00130423
4.475,-0.00130423
4.5,-0.00130423
