source,trial,sep
mc,0,0.347171
mc,0,2.99266
mc,0,0.281636
mc,0,0.193024
mc,0,0.797877
mc,0,4.62463
mc,0,0.83025
mc,0,2.18685
mc,0,1.16132
mc,0,0.0574119
mc,0,4.84715
mc,0,4.57962
mc,0,6.62449
mc,0,5.37084
mc,0,0.411965
mc,0,0.0613441
mc,0,3.41982
mc,0,1.21195
mc,1,0.584495
mc,1,2.53916
mc,1,0.30347
mc,1,1.30256
mc,1,12.4147
mc,1,3.6089
mc,1,0.434095
mc,1,14.1762
mc,1,0.164672
mc,1,2.86359
mc,1,0.956964
mc,1,0.651197
mc,2,0.404579
mc,2,0.105961
mc,2,0.662276
mc,2,0.261501
mc,2,3.83049
mc,2,0.188309
mc,2,3.53151
mc,2,3.34126
mc,2,0.134254
mc,2,0.0175681
mc,2,0.27502
mc,2,0.0783925
mc,2,0.147341
mc,2,1.06066
mc,2,0.16871
mc,2,0.428066
mc,2,2.97233
mc,2,0.0799071
mc,2,0.550444
mc,2,1.5908
mc,2,5.17752
mc,2,0.0796695
mc,2,4.36629
mc,2,0.103361
mc,2,5.21169
mc,2,5.23209
mc,3,0.0542761
mc,3,0.139103
mc,3,5.68416
mc,3,1.95618
mc,3,7.79403
mc,3,3.01098
mc,3,3.96349
mc,3,0.775502
mc,3,0.165985
mc,3,0.308434
mc,3,0.341899
mc,3,1.62384
mc,3,0.428219
mc,3,0.426183
mc,3,0.0818552
mc,3,6.57636
mc,3,0.199367
mc,3,0.0829557
mc,3,0.000957334
mc,3,1.06391
mc,3,0.933071
mc,3,4.38924
mc,4,4.03895
mc,4,0.126608
mc,4,0.306149
mc,4,0.624603
mc,4,0.251779
mc,4,0.193326
mc,4,0.747857
mc,4,1.40413
mc,4,0.0563409
mc,4,0.228648
mc,4,1.62787
mc,4,9.62861
mc,4,0.635023
mc,4,0.385889
mc,4,0.963142
mc,4,0.951636
mc,4,4.76059
mc,4,0.23272
mc,4,0.115595
mc,4,0.991728
mc,4,0.201239
mc,4,11.5276
mc,5,0.0470777
mc,5,2.69564
mc,5,0.329634
mc,5,0.698659
mc,5,0.00716746
mc,5,2.78728
mc,5,2.02908
mc,5,5.84806
mc,5,0.226827
mc,5,0.0633506
mc,5,4.38137
mc,5,0.0641382
mc,5,0.481774
mc,5,0.399798
mc,5,0.40157
mc,5,0.0772498
mc,5,6.07129
mc,5,0.0640786
mc,5,3.65489
mc,5,3.01882
mc,5,0.245092
mc,5,6.40715
mc,6,0.855558
mc,6,7.35407
mc,6,0.850764
mc,6,0.84814
mc,6,1.10238
mc,6,0.0681905
mc,6,14.6831
mc,6,0.060706
mc,6,2.66271
mc,6,0.537233
mc,6,0.0160288
mc,6,1.51861
mc,6,1.16791
mc,6,0.10362
mc,6,3.26646
mc,6,0.0582771
mc,6,0.0438424
mc,6,0.245465
mc,6,1.06957
