conf,kind,k,tau
0,1,0,0.987048
0,1,1,5.17258
0,1,2,6.19893
0,1,3,13.0234
0,1,4,18.4771
0,1,5,23.8218
0,1,6,26.2564
0,1,7,29.4881
0,1,8,31.7988
0,1,9,32.2494
0,-1,0,6.83657
0,-1,1,7.35675
0,-1,2,11.6601
0,-1,3,28.9474
0,-1,4,29.9563
0,-1,5,35.6062
0,-1,6,38.4523
0,-1,7,39.7606
1,1,0,0.987048
1,1,1,5.17258
1,1,2,6.19893
1,1,3,13.0234
1,1,4,18.4771
1,1,5,23.8218
1,1,6,26.2564
1,1,7,29.4881
1,1,8,31.7988
1,1,9,32.2494
1,-1,0,6.83657
1,-1,1,7.35675
1,-1,2,11.6601
1,-1,3,28.9474
1,-1,4,29.9563
1,-1,5,35.6062
1,-1,6,38.4523
1,-1,7,39.7606
2,1,0,0.987048
2,1,1,5.17258
2,1,2,6.19893
2,1,3,13.0234
2,1,4,18.4771
2,1,5,23.8218
2,1,6,26.2564
2,1,7,29.4881
2,1,8,31.7988
2,1,9,32.3449
2,-1,0,6.83657
2,-1,1,7.35675
2,-1,2,11.6601
2,-1,3,28.9474
2,-1,4,29.9563
2,-1,5,35.6062
2,-1,6,38.4523
2,-1,7,39.7606
3,1,0,0.987048
3,1,1,5.17258
3,1,2,6.19893
3,1,3,13.0234
3,1,4,18.4771
3,1,5,23.8218
3,1,6,26.2564
3,1,7,29.4881
3,1,8,31.7988
3,1,9,32.3449
3,-1,0,6.83657
3,-1,1,7.35675
3,-1,2,11.6601
3,-1,3,28.9474
3,-1,4,29.9563
3,-1,5,35.6062
3,-1,6,38.4523
3,-1,7,39.7606
4,1,0,0.987048
4,1,1,5.17258
4,1,2,6.19893
4,1,3,13.0234
4,1,4,18.4771
4,1,5,23.8218
4,1,6,26.2564
4,1,7,29.4881
4,1,8,31.7988
4,1,9,32.3449
4,-1,0,6.83657
4,-1,1,7.35675
4,-1,2,11.6601
4,-1,3,28.9474
4,-1,4,29.9563
4,-1,5,35.6062
4,-1,6,38.4523
4,-1,7,39.7606
5,1,0,0.987048
5,1,1,5.17258
5,1,2,6.19893
5,1,3,13.0234
5,1,4,18.4771
5,1,5,23.8218
5,1,6,26.2564
5,1,7,29.4881
5,1,8,31.7988
5,1,9,32.3449
5,-1,0,6.83657
5,-1,1,7.35675
5,-1,2,11.6601
5,-1,3,28.9474
5,-1,4,29.9563
5,-1,5,35.6062
5,-1,6,38.4523
5,-1,7,39.7606
6,1,0,0.987048
6,1,1,5.17258
6,1,2,6.19893
6,1,3,13.0234
6,1,4,18.4771
6,1,5,23.8218
6,1,6,26.2564
6,1,7,29.4881
6,1,8,31.7988
6,1,9,32.3449
6,-1,0,6.84601
6,-1,1,7.35675
6,-1,2,11.6601
6,-1,3,28.9474
6,-1,4,29.9563
6,-1,5,35.6062
6,-1,6,38.4523
6,-1,7,39.7606
7,1,0,0.987048
7,1,1,5.17258
7,1,2,6.19893
7,1,3,13.0234
7,1,4,18.4771
7,1,5,23.8218
7,1,6,26.2564
7,1,7,29.4881
7,1,8,31.7988
7,1,9,32.3449
7,-1,0,6.84601
7,-1,1,7.35675
7,-1,2,11.6601
7,-1,3,28.9474
7,-1,4,29.9563
7,-1,5,35.5712
7,-1,6,38.4523
7,-1,7,39.7606
8,1,0,0.987048
8,1,1,5.17258
8,1,2,6.19893
8,1,3,13.0234
8,1,4,18.4771
8,1,5,23.8218
8,1,6,26.2564
8,1,7,29.4881
8,1,8,31.7988
8,1,9,32.3449
8,-1,0,6.84601
8,-1,1,7.35675
8,-1,2,11.6601
8,-1,3,28.9474
8,-1,4,29.8513
8,-1,5,35.5712
8,-1,6,38.4523
8,-1,7,39.7606
9,1,0,0.987048
9,1,1,5.17258
9,1,2,6.19893
9,1,3,13.0234
9,1,4,18.4771
9,1,5,23.8218
9,1,6,26.2564
9,1,7,29.4881
9,1,8,31.7988
9,1,9,32.3449
9,-1,0,6.84601
9,-1,1,7.35675
9,-1,2,11.6601
9,-1,3,28.9474
9,-1,4,29.8513
9,-1,5,35.5712
9,-1,6,38.4523
9,-1,7,39.7606
10,1,0,0.987048
10,1,1,5.17258
10,1,2,6.19893
10,1,3,13.0234
10,1,4,18.4771
10,1,5,23.8218
10,1,6,26.2564
10,1,7,29.4881
10,1,8,31.7988
10,1,9,32.3449
10,-1,0,6.84601
10,-1,1,7.35675
10,-1,2,11.6601
10,-1,3,28.9474
10,-1,4,29.8513
10,-1,5,35.5712
10,-1,6,38.4174
10,-1,7,39.7606
11,1,0,0.987048
11,1,1,5.17258
11,1,2,6.19893
11,1,3,13.0234
11,1,4,18.4771
11,1,5,23.8218
11,1,6,26.2564
11,1,7,29.4881
11,1,8,31.7988
11,1,9,32.3449
11,-1,0,6.84601
11,-1,1,7.35675
11,-1,2,11.6601
11,-1,3,28.9474
11,-1,4,29.8513
11,-1,5,35.5712
11,-1,6,38.4174
11,-1,7,39.7606
12,1,0,0.987048
12,1,1,5.17258
12,1,2,6.25521
12,1,3,13.0234
12,1,4,18.4771
12,1,5,23.8218
12,1,6,26.2564
12,1,7,29.4881
12,1,8,31.7988
12,1,9,32.3449
12,-1,0,6.84601
12,-1,1,7.35675
12,-1,2,11.6601
12,-1,3,28.9474
12,-1,4,29.8513
12,-1,5,35.5712
12,-1,6,38.4174
12,-1,7,39.7606
13,1,0,0.987048
13,1,1,5.17258
13,1,2,6.25521
13,1,3,13.0234
13,1,4,18.4771
13,1,5,23.8218
13,1,6,26.2564
13,1,7,29.4881
13,1,8,31.7988
13,1,9,32.3449
13,-1,0,6.84601
13,-1,1,7.35675
13,-1,2,11.6601
13,-1,3,28.9474
13,-1,4,29.8513
13,-1,5,35.5712
13,-1,6,38.4174
13,-1,7,39.7606
14,1,0,0.987048
14,1,1,5.17258
14,1,2,6.25521
14,1,3,13.0234
14,1,4,18.4771
14,1,5,23.8218
14,1,6,26.2564
14,1,7,29.4881
14,1,8,31.7988
14,1,9,32.3449
14,-1,0,6.84601
14,-1,1,7.35675
14,-1,2,11.6601
14,-1,3,28.9474
14,-1,4,29.8513
14,-1,5,35.5712
14,-1,6,38.4174
14,-1,7,39.7606
15,1,0,0.987048
15,1,1,5.17258
15,1,2,6.25521
15,1,3,13.0234
15,1,4,18.4771
15,1,5,23.8218
15,1,6,26.2564
15,1,7,29.4881
15,1,8,31.7988
15,1,9,32.3449
15,-1,0,6.84601
15,-1,1,7.35675
15,-1,2,11.6601
15,-1,3,28.9474
15,-1,4,29.8513
15,-1,5,35.5712
15,-1,6,38.4174
15,-1,7,39.7606
16,1,0,0.987048
16,1,1,5.17258
16,1,2,6.25521
16,1,3,13.0234
16,1,4,18.4771
16,1,5,23.8218
16,1,6,26.2564
16,1,7,29.4881
16,1,8,31.7988
16,1,9,32.3449
16,-1,0,6.84601
16,-1,1,7.35675
16,-1,2,11.6601
16,-1,3,28.8651
16,-1,4,29.8513
16,-1,5,35.5712
16,-1,6,38.4174
16,-1,7,39.7606
17,1,0,0.987048
17,1,1,5.17258
17,1,2,6.25521
17,1,3,13.0234
17,1,4,18.4771
17,1,5,23.8218
17,1,6,26.2564
17,1,7,29.4881
17,1,8,31.7988
17,1,9,32.3449
17,-1,0,6.84601
17,-1,1,7.35675
17,-1,2,11.6601
17,-1,3,28.8651
17,-1,4,29.8513
17,-1,5,35.5712
17,-1,6,38.4174
17,-1,7,39.7606
18,1,0,0.987048
18,1,1,5.17258
18,1,2,6.25521
18,1,3,13.0234
18,1,4,18.4771
18,1,5,23.8218
18,1,6,26.2564
18,1,7,29.4881
18,1,8,31.7988
18,1,9,32.3449
18,-1,0,6.84601
18,-1,1,7.35675
18,-1,2,11.6601
18,-1,3,28.8651
18,-1,4,29.8513
18,-1,5,35.5712
18,-1,6,38.4174
18,-1,7,39.7606
19,1,0,0.987048
19,1,1,5.17258
19,1,2,6.25521
19,1,3,13.0234
19,1,4,18.4405
19,1,5,23.8218
19,1,6,26.2564
19,1,7,29.4881
19,1,8,31.7988
19,1,9,32.3449
19,-1,0,6.84601
19,-1,1,7.35675
19,-1,2,11.6601
19,-1,3,28.8651
19,-1,4,29.8513
19,-1,5,35.5712
19,-1,6,38.4174
19,-1,7,39.7606
20,1,0,0.987048
20,1,1,5.17258
20,1,2,6.25521
20,1,3,13.0234
20,1,4,18.4401
20,1,5,23.8218
20,1,6,26.2564
20,1,7,29.4881
20,1,8,31.7988
20,1,9,32.3449
20,-1,0,6.84601
20,-1,1,7.35675
20,-1,2,11.6601
20,-1,3,28.8651
20,-1,4,29.8513
20,-1,5,35.5712
20,-1,6,38.4174
20,-1,7,39.7606
21,1,0,0.987048
21,1,1,5.26411
21,1,2,6.25521
21,1,3,13.0234
21,1,4,18.4401
21,1,5,23.8218
21,1,6,26.2564
21,1,7,29.4881
21,1,8,31.7988
21,1,9,32.3449
21,-1,0,6.84601
21,-1,1,7.35675
21,-1,2,11.6601
21,-1,3,28.8651
21,-1,4,29.8513
21,-1,5,35.5712
21,-1,6,38.4174
21,-1,7,39.7606
22,1,0,0.987048
22,1,1,5.26411
22,1,2,6.25521
22,1,3,13.0234
22,1,4,18.4401
22,1,5,23.8218
22,1,6,26.2564
22,1,7,29.4881
22,1,8,31.7988
22,1,9,32.3449
22,-1,0,6.84601
22,-1,1,7.35675
22,-1,2,11.6601
22,-1,3,28.8651
22,-1,4,29.8513
22,-1,5,35.5712
22,-1,6,38.4174
22,-1,7,39.7606
23,1,0,0.987048
23,1,1,5.26411
23,1,2,6.25521
23,1,3,13.0234
23,1,4,18.4401
23,1,5,23.8218
23,1,6,26.2564
23,1,7,29.4881
23,1,8,31.7988
23,1,9,32.3449
23,-1,0,6.84601
23,-1,1,7.35675
23,-1,2,11.6601
23,-1,3,28.8651
23,-1,4,29.8513
23,-1,5,35.5712
23,-1,6,38.4174
23,-1,7,39.7606
24,1,0,0.987048
24,1,1,5.26411
24,1,2,6.37843
24,1,3,13.0234
24,1,4,18.4401
24,1,5,23.8218
24,1,6,26.2564
24,1,7,29.4881
24,1,8,31.7988
24,1,9,32.3449
24,-1,0,6.84601
24,-1,1,7.35675
24,-1,2,11.6601
24,-1,3,28.8651
24,-1,4,29.8513
24,-1,5,35.5712
24,-1,6,38.4174
24,-1,7,39.7606
25,1,0,0.987048
25,1,1,5.26411
25,1,2,6.37843
25,1,3,12.9786
25,1,4,18.4401
25,1,5,23.8218
25,1,6,26.2564
25,1,7,29.4881
25,1,8,31.7988
25,1,9,32.3449
25,-1,0,6.84601
25,-1,1,7.35675
25,-1,2,11.6601
25,-1,3,28.8651
25,-1,4,29.8513
25,-1,5,35.5712
25,-1,6,38.4174
25,-1,7,39.7606
26,1,0,0.987048
26,1,1,5.26411
26,1,2,6.37843
26,1,3,12.9786
26,1,4,18.4401
26,1,5,23.8218
26,1,6,26.2564
26,1,7,29.4881
26,1,8,31.7988
26,1,9,32.3449
26,-1,0,6.84601
26,-1,1,7.35675
26,-1,2,11.6601
26,-1,3,28.8651
26,-1,4,29.8513
26,-1,5,35.5712
26,-1,6,38.4174
26,-1,7,39.7606
27,1,0,0.987048
27,1,1,5.26411
27,1,2,6.37843
27,1,3,12.9566
27,1,4,18.4401
27,1,5,23.8218
27,1,6,26.2564
27,1,7,29.4881
27,1,8,31.7988
27,1,9,32.3449
27,-1,0,6.84601
27,-1,1,7.35675
27,-1,2,11.6601
27,-1,3,28.8651
27,-1,4,29.8513
27,-1,5,35.5712
27,-1,6,38.4174
27,-1,7,39.7606
28,1,0,0.987048
28,1,1,5.26411
28,1,2,6.38318
28,1,3,12.9566
28,1,4,18.4401
28,1,5,23.8218
28,1,6,26.2564
28,1,7,29.4881
28,1,8,31.7988
28,1,9,32.3449
28,-1,0,6.84601
28,-1,1,7.35675
28,-1,2,11.6601
28,-1,3,28.8651
28,-1,4,29.8513
28,-1,5,35.5712
28,-1,6,38.4174
28,-1,7,39.7606
29,1,0,0.987048
29,1,1,5.26411
29,1,2,6.38318
29,1,3,12.9566
29,1,4,18.4401
29,1,5,23.8218
29,1,6,26.2564
29,1,7,29.4881
29,1,8,31.7988
29,1,9,32.3449
29,-1,0,6.84601
29,-1,1,7.35675
29,-1,2,11.6601
29,-1,3,28.8651
29,-1,4,29.8513
29,-1,5,35.5712
29,-1,6,38.4174
29,-1,7,39.7606
30,1,0,0.987048
30,1,1,5.26411
30,1,2,6.38318
30,1,3,12.9566
30,1,4,18.4401
30,1,5,23.8218
30,1,6,26.2564
30,1,7,29.4881
30,1,8,31.7988
30,1,9,32.3449
30,-1,0,6.84601
30,-1,1,7.35675
30,-1,2,11.6601
30,-1,3,28.8651
30,-1,4,29.8513
30,-1,5,35.5712
30,-1,6,38.4174
30,-1,7,39.7606
31,1,0,0.987048
31,1,1,5.26411
31,1,2,6.38318
31,1,3,12.9566
31,1,4,18.4401
31,1,5,23.8218
31,1,6,26.2564
31,1,7,29.4881
31,1,8,31.7988
31,1,9,32.3449
31,-1,0,6.84601
31,-1,1,7.35675
31,-1,2,11.6601
31,-1,3,28.8651
31,-1,4,29.8513
31,-1,5,35.4397
31,-1,6,38.4174
31,-1,7,39.7606
32,1,0,0.987048
32,1,1,5.26411
32,1,2,6.38318
32,1,3,12.9566
32,1,4,18.4401
32,1,5,23.6779
32,1,6,26.2564
32,1,7,29.4881
32,1,8,31.7988
32,1,9,32.3449
32,-1,0,6.84601
32,-1,1,7.35675
32,-1,2,11.6601
32,-1,3,28.8651
32,-1,4,29.8513
32,-1,5,35.4397
32,-1,6,38.4174
32,-1,7,39.7606
33,1,0,0.987048
33,1,1,5.26411
33,1,2,6.38318
33,1,3,12.9566
33,1,4,18.4401
33,1,5,23.6779
33,1,6,26.2564
33,1,7,29.4881
33,1,8,31.7988
33,1,9,32.3449
33,-1,0,6.84601
33,-1,1,7.35675
33,-1,2,11.6601
33,-1,3,28.8651
33,-1,4,29.8513
33,-1,5,35.4397
33,-1,6,38.3709
33,-1,7,39.7606
34,1,0,0.987048
34,1,1,5.26411
34,1,2,6.38318
34,1,3,12.9566
34,1,4,18.4401
34,1,5,23.6779
34,1,6,26.2564
34,1,7,29.4881
34,1,8,31.7988
34,1,9,32.3449
34,-1,0,6.84601
34,-1,1,7.35675
34,-1,2,11.6601
