tau,C1,C1_err,C2conn,C2conn_err,C3,C3_err
0,1.36639,0.0180397,1.16883,0.0180719,8.59915,0.23188
0.05,1.3201,0.0181563,0.936452,0.0160318,7.49361,0.210342
0.1,1.27803,0.0182652,0.75087,0.0137996,6.67153,0.189657
0.15,1.23942,0.0184943,0.604322,0.0124254,6.06186,0.173332
0.2,1.20374,0.0188668,0.487395,0.0124093,5.59915,0.163142
0.25,1.17003,0.0193692,0.392649,0.0122179,5.2338,0.158703
0.3,1.13787,0.0198523,0.314703,0.0128838,4.93909,0.154412
0.35,1.10725,0.0203366,0.252204,0.0133686,4.7018,0.15033
0.4,1.07839,0.0208044,0.20356,0.0135191,4.51387,0.145738
0.45,1.05057,0.0213506,0.160956,0.0139123,4.34129,0.142608
0.5,1.0234,0.0219151,0.126714,0.0143006,4.18862,0.142136
0.55,0.997739,0.0224527,0.101499,0.0141921,4.06119,0.14109
0.6,0.973144,0.023061,0.08161,0.0139269,3.94707,0.142799
0.65,0.949269,0.0236397,0.0670439,0.0137134,3.85042,0.144595
0.7,0.926492,0.0240728,0.0556248,0.0132258,3.76149,0.1449
0.75,0.904054,0.0245501,0.0483327,0.0133731,3.68129,0.14703
0.8,0.881007,0.0249057,0.0399106,0.0128443,3.5886,0.145856
0.85,0.858843,0.0252969,0.0314717,0.0125153,3.49173,0.14676
0.9,0.837881,0.0257541,0.023562,0.0120395,3.39857,0.148763
0.95,0.817305,0.0261915,0.0173348,0.0117531,3.29829,0.150145
1,0.797272,0.0265333,0.00995559,0.0116773,3.19785,0.151654
1.05,0.778122,0.0269711,0.00521601,0.0115714,3.12156,0.153231
1.1,0.759033,0.0273767,-0.000632491,0.0112366,3.02941,0.153102
1.15,0.741233,0.0277093,-0.00245495,0.010764,2.96517,0.151628
1.2,0.724319,0.0280714,0.00125244,0.010462,2.91503,0.151206
1.25,0.706544,0.028448,-0.00119583,0.0103515,2.8377,0.151133
1.3,0.689288,0.0288401,-0.00289588,0.00998211,2.76075,0.150865
1.35,0.672601,0.029202,-0.00497045,0.00991986,2.69184,0.150735
1.4,0.656061,0.0296257,-0.00907278,0.0103255,2.61976,0.152881
1.45,0.639904,0.0299244,-0.0142779,0.0105987,2.54253,0.151595
1.5,0.623991,0.0301654,-0.0223648,0.0109563,2.46352,0.148486
1.55,0.608743,0.0304915,-0.0248733,0.0111989,2.40066,0.146956
1.6,0.593888,0.0307983,-0.0258331,0.0120971,2.34114,0.146964
1.65,0.580054,0.0311255,-0.0224978,0.0127794,2.30191,0.147743
1.7,0.566783,0.0313948,-0.022887,0.0130031,2.25743,0.147124
1.75,0.553692,0.031701,-0.0214264,0.0131262,2.22841,0.148292
1.8,0.541148,0.0320098,-0.020683,0.01337,2.19335,0.151997
1.85,0.528557,0.0323511,-0.0173176,0.0130484,2.15253,0.155442
1.9,0.516609,0.0326947,-0.0156602,0.0125818,2.11898,0.158656
1.95,0.504632,0.0329961,-0.0140162,0.0123762,2.08084,0.160736
2,0.494114,0.0333343,-0.0108702,0.0118465,2.06276,0.165283
2.05,0.484365,0.0337252,-0.00600572,0.0114079,2.03715,0.169702
2.1,0.474497,0.034024,0.00123649,0.011455,2.01446,0.171547
2.15,0.464182,0.0342205,0.00163231,0.0111866,1.96263,0.170612
2.2,0.453151,0.0344304,-0.00104233,0.0111216,1.90101,0.171056
2.25,0.443067,0.0346211,-0.0037884,0.0108255,1.84161,0.170562
2.3,0.433131,0.0349102,-0.00203555,0.011,1.79489,0.170824
2.35,0.422532,0.0350194,-0.00606945,0.0112528,1.73668,0.167831
2.4,0.411706,0.0351988,-0.00843634,0.0112803,1.67032,0.16623
2.45,0.401768,0.0353226,-0.0095133,0.0115582,1.62039,0.166667
2.5,0.392632,0.0355139,-0.00637909,0.012174,1.57506,0.167469
2.55,0.383429,0.0357145,-0.00538831,0.0126483,1.52568,0.168137
2.6,0.374563,0.0359054,-0.00953709,0.0127812,1.46983,0.168942
2.65,0.366482,0.0361438,-0.0155986,0.0128408,1.428,0.168409
2.7,0.359251,0.036401,-0.0184789,0.0130369,1.40488,0.167458
2.75,0.351873,0.0367297,-0.0196649,0.0126875,1.38747,0.166548
2.8,0.344587,0.037035,-0.0162893,0.0123318,1.36598,0.166565
2.85,0.336916,0.0373712,-0.0135654,0.0119452,1.35454,0.166835
2.9,0.329402,0.0377152,-0.0108146,0.0117498,1.3349,0.166661
2.95,0.322033,0.0380601,-0.00879735,0.0115591,1.30062,0.16487
3,0.314925,0.0383614,-0.00923931,0.0114166,1.267,0.164527
3.05,0.308359,0.0386606,-0.00959648,0.0110524,1.23061,0.163933
3.1,0.301481,0.0390641,-0.0106359,0.0105472,1.19485,0.165144
3.15,0.29544,0.039394,-0.00850137,0.0100947,1.17199,0.166361
3.2,0.290376,0.0396585,-0.00625954,0.00986484,1.15869,0.165784
3.25,0.285521,0.0400234,-0.00319372,0.00942099,1.15287,0.169544
3.3,0.280675,0.0402765,-0.00332172,0.00890174,1.14313,0.17258
3.35,0.275206,0.0403961,-2.94219e-06,0.00888299,1.12394,0.173011
3.4,0.269366,0.0404676,0.00287701,0.00912969,1.10261,0.173907
3.45,0.263914,0.0406775,0.00634915,0.00973275,1.09316,0.176817
3.5,0.258503,0.0408349,0.0093669,0.0112122,1.0764,0.180758
3.55,0.253676,0.0409553,0.00959312,0.0123791,1.06328,0.182941
3.6,0.248201,0.0410952,0.00753368,0.0133571,1.03185,0.18395
3.65,0.243077,0.0412665,0.00773589,0.0138078,1.0055,0.185286
3.7,0.238436,0.0413482,0.00884316,0.0138888,1.00727,0.184594
3.75,0.233226,0.0414546,0.00979448,0.0136881,0.990463,0.1839
3.8,0.227951,0.0414738,0.00927973,0.0127831,0.980237,0.182031
3.85,0.223064,0.0416371,0.0051411,0.0118062,0.973607,0.18312
3.9,0.218588,0.0418027,0.00213601,0.0109001,0.966667,0.183061
3.95,0.213812,0.0419844,-0.00255861,0.0102157,0.948408,0.182492
4,0.209659,0.0420174,-0.00819429,0.00954952,0.936781,0.178802
4.05,0.204939,0.0421474,-0.0114029,0.00929745,0.91559,0.176513
4.1,0.199938,0.042432,-0.0133566,0.00974388,0.888609,0.175027
4.15,0.195955,0.0427388,-0.0173726,0.0105251,0.871312,0.175868
4.2,0.192151,0.043087,-0.0210725,0.0110782,0.856741,0.176858
