tau,C1,C1_err,C2raw,C2raw_err,C2conn,C2conn_err,C3,C3_err
0,1.48642,0.0119856,2.5101,0.0289376,0.293629,0.00966226,4.39651,0.0632471
0.05,1.48495,0.0120295,2.50777,0.0289906,0.291298,0.009601,4.3919,0.0633211
0.1,1.48061,0.0121608,2.50115,0.0291458,0.28468,0.00941942,4.37909,0.0635361
0.15,1.47348,0.0123803,2.4906,0.029398,0.274126,0.00913727,4.35862,0.0638881
0.2,1.46369,0.0126886,2.47665,0.0297378,0.260173,0.00878492,4.33124,0.0643711
0.25,1.45138,0.0130854,2.45997,0.030152,0.243497,0.00839952,4.29785,0.0649762
0.3,1.43674,0.0135694,2.44131,0.0306236,0.224842,0.00802027,4.25931,0.0656942
0.35,1.42,0.0141376,2.42144,0.0311341,0.204966,0.00768168,4.21638,0.0665171
0.4,1.40137,0.0147851,2.40105,0.0316632,0.184581,0.00741029,4.16967,0.0674387
0.45,1.38108,0.0155055,2.38079,0.0321924,0.164316,0.00721986,4.11958,0.0684572
0.5,1.35938,0.0162906,2.36117,0.032704,0.144693,0.00711121,4.06642,0.0695708
0.55,1.33649,0.0171318,2.34258,0.0331845,0.12611,0.00707252,4.01035,0.0707823
0.6,1.31262,0.0180199,2.32532,0.0336238,0.108847,0.00708518,3.95153,0.0720945
0.65,1.28798,0.0189456,2.30955,0.0340146,0.093078,0.0071281,3.89006,0.0735101
0.7,1.26275,0.0198997,2.29535,0.0343534,0.0788803,0.00718178,3.82611,0.0750305
0.75,1.2371,0.0208738,2.28273,0.0346394,0.0662551,0.00722974,3.75987,0.0766559
0.8,1.21118,0.02186,2.27162,0.0348739,0.0551481,0.00725914,3.69157,0.0783824
0.85,1.18512,0.0228511,2.26194,0.0350607,0.0454635,0.00726146,3.62152,0.0802047
0.9,1.15904,0.0238408,2.25355,0.0352042,0.0370779,0.00723108,3.55,0.082113
0.95,1.13304,0.0248235,2.24633,0.0353105,0.0298547,0.00716556,3.47736,0.0840956
1,1.10721,0.0257945,2.24013,0.0353866,0.0236541,0.00706559,3.40392,0.0861395
1.05,1.08161,0.0267494,2.23481,0.0354389,0.0183406,0.00693415,3.33001,0.0882256
1.1,1.0563,0.0276849,2.23026,0.0354751,0.0137843,0.00677739,3.25593,0.0903377
1.15,1.03132,0.0285978,2.22634,0.0355024,0.00986936,0.00660388,3.18195,0.0924596
1.2,1.00673,0.0294858,2.22297,0.0355277,0.0064994,0.00642447,3.10834,0.0945771
1.25,0.982538,0.0303471,2.22006,0.0355571,0.00359262,0.00625124,3.03529,0.0966783
1.3,0.958774,0.0311803,2.21755,0.0355954,0.00107992,0.00609679,2.96297,0.0987524
1.35,0.935451,0.0319842,2.21538,0.0356452,-0.00109303,0.00597271,2.89154,0.10079
1.4,0.912579,0.0327585,2.21351,0.0357083,-0.00296283,0.00588783,2.8211,0.102785
1.45,0.890163,0.0335029,2.21191,0.0357842,-0.00455972,0.00584654,2.75177,0.104732
1.5,0.868204,0.0342176,2.21057,0.0358715,-0.00590286,0.00584782,2.68362,0.106625
