eta,conf,n_cool,n_inst,density,action,s_per_inst
1.4,0,0,36,0.9,426.47,11.8464
1.4,0,1,32,0.8,378.606,11.8314
1.4,0,2,24,0.6,341.359,14.2233
1.4,0,3,24,0.6,304.86,12.7025
1.4,0,4,22,0.55,276.31,12.5595
1.4,0,5,18,0.45,252.446,14.0248
1.4,0,6,18,0.45,230.172,12.7873
1.4,0,7,16,0.4,210.842,13.1776
1.4,0,8,16,0.4,193.215,12.076
1.4,0,9,16,0.4,179.029,11.1893
1.4,0,10,16,0.4,167.083,10.4427
1.4,0,11,16,0.4,157.072,9.81698
1.4,0,12,16,0.4,149.365,9.33529
1.4,0,13,16,0.4,141.755,8.8597
1.4,0,14,16,0.4,135.634,8.47713
1.4,0,15,16,0.4,129.616,8.10101
1.4,0,16,14,0.35,125.452,8.96087
1.4,0,17,14,0.35,120.72,8.62285
1.4,0,18,14,0.35,117.011,8.35796
1.4,0,19,14,0.35,112.778,8.05558
1.4,0,20,14,0.35,108.493,7.74947
1.4,0,21,14,0.35,105.498,7.53555
1.4,0,22,14,0.35,103.077,7.36267
1.4,0,23,14,0.35,101.078,7.21988
1.4,0,24,14,0.35,98.8471,7.06051
1.4,0,25,14,0.35,96.904,6.92171
1.4,0,26,14,0.35,93.9643,6.71174
1.4,0,27,14,0.35,92.1178,6.57984
1.4,0,28,14,0.35,90.4335,6.45954
1.4,0,29,14,0.35,88.879,6.3485
1.4,0,30,14,0.35,87.1233,6.22309
1.4,0,31,14,0.35,85.6004,6.11431
1.4,0,32,14,0.35,83.5635,5.96882
1.4,0,33,14,0.35,82.4843,5.89173
1.4,0,34,14,0.35,81.1251,5.79465
1.4,0,35,14,0.35,79.7399,5.69571
1.4,0,36,14,0.35,78.7403,5.6243
1.4,0,37,14,0.35,77.4419,5.53157
1.4,0,38,14,0.35,76.4308,5.45934
1.4,0,39,14,0.35,75.5495,5.39639
1.4,0,40,14,0.35,74.6616,5.33297
1.4,0,41,14,0.35,73.7164,5.26546
1.4,0,42,14,0.35,72.8008,5.20006
1.4,0,43,14,0.35,72.0041,5.14315
1.4,0,44,14,0.35,71.0609,5.07578
