tau,C(tau)
0,1.20318
0.05,1.15769
0.1,1.12112
0.15,1.08805
0.2,1.05592
0.25,1.02215
0.3,0.993167
0.35,0.966314
0.4,0.938296
0.45,0.910896
0.5,0.887474
0.55,0.868842
0.6,0.8485
0.65,0.822566
0.7,0.798694
0.75,0.771764
0.8,0.746626
0.85,0.720168
0.9,0.699346
0.95,0.679027
1,0.663645
1.05,0.640975
1.1,0.625578
1.15,0.60985
1.2,0.590168
1.25,0.571412
1.3,0.550995
1.35,0.530966
1.4,0.508017
1.45,0.488358
1.5,0.465571
1.55,0.441148
1.6,0.412211
1.65,0.387164
1.7,0.36754
1.75,0.343873
1.8,0.325832
1.85,0.306672
1.9,0.28729
1.95,0.266181
2,0.252574
2.05,0.236625
2.1,0.215257
2.15,0.194345
2.2,0.171275
2.25,0.149085
2.3,0.124032
2.35,0.103948
2.4,0.0840218
2.45,0.0669735
2.5,0.0467971
2.55,0.0319426
2.6,0.0181462
2.65,0.00368914
2.7,-0.0142548
2.75,-0.0320297
2.8,-0.0490273
2.85,-0.0711076
2.9,-0.0865926
2.95,-0.101123
3,-0.11184
3.05,-0.123123
3.1,-0.137343
3.15,-0.141327
3.2,-0.151189
3.25,-0.160906
3.3,-0.172401
3.35,-0.180479
3.4,-0.19238
3.45,-0.205338
3.5,-0.219628
3.55,-0.233735
3.6,-0.252729
3.65,-0.267106
3.7,-0.27882
3.75,-0.289124
3.8,-0.295857
3.85,-0.300051
3.9,-0.306947
3.95,-0.317681
4,-0.326074
4.05,-0.335623
4.1,-0.349974
4.15,-0.360287
4.2,-0.375789
4.25,-0.38883
4.3,-0.408244
4.35,-0.42228
4.4,-0.439179
4.45,-0.450096
4.5,-0.460037
4.55,-0.46677
4.6,-0.471208
4.65,-0.475358
4.7,-0.478053
4.75,-0.480584
4.8,-0.485594
4.85,-0.494805
4.9,-0.50407
4.95,-0.511348
5,-0.515869
5.05,-0.516854
5.1,-0.51717
5.15,-0.516213
5.2,-0.516265
5.25,-0.510165
5.3,-0.507871
5.35,-0.500795
5.4,-0.496477
5.45,-0.498002
5.5,-0.501383
5.55,-0.502744
5.6,-0.504672
5.65,-0.512472
5.7,-0.513032
5.75,-0.51738
5.8,-0.519006
5.85,-0.523939
5.9,-0.524454
5.95,-0.524658
6,-0.524592
6.05,-0.520416
6.1,-0.516541
6.15,-0.512314
6.2,-0.511184
6.25,-0.511895
6.3,-0.508796
6.35,-0.50318
6.4,-0.494874
6.45,-0.482124
6.5,-0.467994
6.55,-0.452858
6.6,-0.433383
6.65,-0.417338
6.7,-0.40209
6.75,-0.391001
6.8,-0.374586
6.85,-0.363339
6.9,-0.351299
6.95,-0.345187
7,-0.34031
7.05,-0.332458
7.1,-0.322659
7.15,-0.306895
7.2,-0.298784
7.25,-0.287696
7.3,-0.274403
7.35,-0.263618
7.4,-0.254922
7.45,-0.24637
7.5,-0.240276
7.55,-0.237213
7.6,-0.230449
7.65,-0.228496
7.7,-0.218958
7.75,-0.210513
7.8,-0.202377
7.85,-0.191444
7.9,-0.178057
7.95,-0.163802
8,-0.148253
8.05,-0.130157
8.1,-0.114912
8.15,-0.0969515
8.2,-0.088372
8.25,-0.0798409
8.3,-0.0714197
8.35,-0.0649835
8.4,-0.05538
8.45,-0.0451295
8.5,-0.0315961
8.55,-0.0205163
8.6,0.000422906
8.65,0.0142721
8.7,0.0300619
8.75,0.0430654
8.8,0.0543776
8.85,0.071379
8.9,0.0763792
8.95,0.0848427
9,0.0888119
9.05,0.0919326
9.1,0.0939273
9.15,0.0997331
9.2,0.103441
9.25,0.10675
9.3,0.110135
9.35,0.11667
9.4,0.121817
9.45,0.127713
9.5,0.133651
9.55,0.141484
9.6,0.145124
9.65,0.139725
9.7,0.133519
9.75,0.131043
9.8,0.128453
9.85,0.134833
9.9,0.135844
9.95,0.143983
10,0.146808
10.05,0.154366
10.1,0.160066
10.15,0.16906
10.2,0.175183
10.25,0.181652
10.3,0.190062
10.35,0.202122
10.4,0.212803
10.45,0.224193
10.5,0.238898
10.55,0.252951
10.6,0.263322
10.65,0.278961
10.7,0.290141
10.75,0.301128
10.8,0.30445
10.85,0.313737
10.9,0.318767
10.95,0.325046
11,0.327566
11.05,0.332556
11.1,0.336552
11.15,0.345763
11.2,0.352391
11.25,0.354793
11.3,0.35984
11.35,0.36174
11.4,0.363361
11.45,0.366366
11.5,0.371384
11.55,0.371458
11.6,0.373305
11.65,0.374076
11.7,0.37389
11.75,0.378446
11.8,0.379431
11.85,0.383088
11.9,0.391591
11.95,0.394763
12,0.400196
12.05,0.403816
12.1,0.40521
12.15,0.406698
12.2,0.407031
12.25,0.401453
12.3,0.393417
12.35,0.380488
12.4,0.370431
12.45,0.359975
12.5,0.356417
12.55,0.349186
12.6,0.347461
12.65,0.344096
12.7,0.338926
12.75,0.337183
12.8,0.328914
12.85,0.325091
12.9,0.320526
12.95,0.308714
13,0.299978
13.05,0.289661
13.1,0.276041
13.15,0.262617
13.2,0.252355
13.25,0.243023
13.3,0.237167
13.35,0.228486
13.4,0.222601
13.45,0.21489
13.5,0.207855
13.55,0.195943
13.6,0.186517
13.65,0.174474
13.7,0.163539
13.75,0.154886
13.8,0.145113
13.85,0.133157
13.9,0.122509
13.95,0.115058
14,0.107671
14.05,0.097843
14.1,0.0885967
14.15,0.0769034
14.2,0.0706264
14.25,0.062354
14.3,0.0558276
14.35,0.0451834
14.4,0.0332446
14.45,0.0150093
14.5,-0.00051866
14.55,-0.0180276
14.6,-0.029975
14.65,-0.0405031
14.7,-0.0507358
14.75,-0.0612017
14.8,-0.0774255
14.85,-0.09216
14.9,-0.103168
14.95,-0.113539
15,-0.125407
15.05,-0.137669
15.1,-0.153422
15.15,-0.174083
15.2,-0.188746
15.25,-0.20064
15.3,-0.205073
15.35,-0.215384
15.4,-0.222364
15.45,-0.226349
15.5,-0.22783
