tau,x
0,-0.551618
0.05,-0.697695
0.1,-1.08052
0.15,-1.23655
0.2,-0.537044
0.25,-0.609153
0.3,-0.83178
0.35,-0.877037
0.4,-1.20791
0.45,-1.10385
0.5,-0.870819
0.55,-0.504605
0.6,-0.456486
0.65,-0.458105
0.7,-0.143011
0.75,-0.706998
0.8,-0.658721
0.85,-0.399213
0.9,-0.656043
0.95,0.0131015
1,0.200885
1.05,0.434908
1.1,0.399333
1.15,0.705944
1.2,0.461726
1.25,0.561698
1.3,-0.0523521
1.35,-0.167149
1.4,-0.908371
1.45,-0.65613
1.5,-0.943353
1.55,-0.893767
1.6,-0.849945
1.65,-0.466555
1.7,-0.18399
1.75,-0.264956
1.8,-0.121943
1.85,0.0823038
1.9,-0.519058
1.95,-0.171342
2,-0.550681
2.05,-0.974935
2.1,-0.615471
2.15,-1.04325
2.2,-1.24394
2.25,-1.21786
2.3,-1.27606
2.35,-1.26761
2.4,-1.23961
2.45,-1.45679
2.5,-1.34138
2.55,-1.74161
2.6,-1.55501
2.65,-1.81949
2.7,-1.48606
2.75,-1.29118
2.8,-1.20652
2.85,-1.4992
2.9,-1.58179
2.95,-1.24241
3,-1.19418
3.05,-0.889394
3.1,-0.551829
3.15,-0.205072
3.2,-0.148251
3.25,-0.328483
3.3,-0.662098
3.35,-0.642021
3.4,-0.654224
3.45,-1.00174
3.5,-0.981885
3.55,-1.55234
3.6,-1.6922
3.65,-1.76757
3.7,-1.43005
3.75,-1.12282
3.8,-0.977049
3.85,-0.642428
3.9,-0.99518
3.95,-1.21748
4,-0.712753
4.05,-0.741086
4.1,-0.841237
4.15,-0.148528
4.2,0.0318904
4.25,-0.0359701
4.3,-0.0459628
4.35,0.391234
4.4,0.490385
4.45,0.340328
4.5,0.791734
4.55,0.0646607
4.6,-0.323668
4.65,-0.620453
4.7,-0.553805
4.75,-0.372828
4.8,-0.251343
4.85,0.445033
4.9,0.587342
4.95,0.909034
5,0.921731
5.05,0.943265
5.1,1.10669
5.15,1.27158
5.2,1.37822
5.25,1.17754
5.3,0.839607
5.35,1.53231
5.4,0.638338
5.45,0.846902
5.5,0.531401
5.55,0.124626
5.6,-0.220426
5.65,-0.313442
5.7,-0.502258
5.75,-0.710685
5.8,-0.974929
5.85,-0.778317
5.9,-0.859215
5.95,-0.604646
6,-0.702707
6.05,-0.402956
6.1,-0.176735
6.15,-0.829087
6.2,-1.00192
6.25,-1.04399
6.3,-0.676903
6.35,-0.488205
6.4,-0.629815
6.45,-0.460826
6.5,-0.113029
6.55,-0.28412
6.6,-0.222963
6.65,0.0796098
6.7,-0.30929
6.75,-0.418014
6.8,-0.26233
6.85,-0.555411
6.9,-0.785061
6.95,-1.18467
7,-1.30197
7.05,-1.11567
7.1,-1.01157
7.15,-1.43388
7.2,-1.68528
7.25,-1.24276
7.3,-1.55373
7.35,-1.57693
7.4,-1.50941
7.45,-1.50959
7.5,-1.76793
7.55,-1.68009
7.6,-1.49772
7.65,-1.46091
7.7,-1.61204
7.75,-1.93739
7.8,-1.61599
7.85,-1.21742
7.9,-1.01444
7.95,-0.970304
8,-0.867688
8.05,-0.645022
8.1,-1.2589
8.15,-1.52599
8.2,-1.52738
8.25,-1.39513
8.3,-1.58678
8.35,-1.08917
8.4,-0.842193
8.45,-0.732189
8.5,-0.0373632
8.55,-0.477452
8.6,-0.912618
8.65,-1.00631
8.7,-1.48877
8.75,-1.45953
8.8,-1.56847
8.85,-1.8154
8.9,-1.15056
8.95,-0.990739
9,-1.27828
9.05,-1.54085
9.1,-0.95886
9.15,-1.18995
9.2,-1.38975
9.25,-1.16516
9.3,-0.481318
9.35,-0.981743
9.4,-0.639832
9.45,-0.626675
9.5,-0.654727
9.55,-0.953978
9.6,-1.17614
9.65,-1.35667
9.7,-1.36579
9.75,-1.16391
9.8,-0.897843
9.85,-0.400458
9.9,-0.190493
9.95,-0.200104
10,-0.420601
10.05,-0.540994
10.1,-0.164571
10.15,-0.151345
10.2,0.0182915
10.25,0.0907561
10.3,0.388752
10.35,0.167973
10.4,0.70251
10.45,0.71486
10.5,1.23127
10.55,1.10925
10.6,1.16315
10.65,1.40945
10.7,1.19939
10.75,0.833881
10.8,0.746709
10.85,0.359863
10.9,0.148325
10.95,0.418727
11,0.00785516
11.05,-0.310223
11.1,-0.103495
11.15,-0.257934
11.2,-0.48262
11.25,-0.537424
11.3,-0.482497
11.35,-0.651759
11.4,-1.18402
11.45,-1.3504
11.5,-1.07455
