tau,x
0,0.957075
0.05,1.06499
0.1,1.15472
0.15,1.22158
0.2,1.27482
0.25,1.31882
0.3,1.34869
0.35,1.36447
0.4,1.38026
0.45,1.39657
0.5,1.40418
0.55,1.40399
0.6,1.39807
0.65,1.38869
0.7,1.37525
0.75,1.36199
0.8,1.35087
0.85,1.33326
0.9,1.32076
0.95,1.29623
1,1.28724
1.05,1.26621
1.1,1.24483
1.15,1.21982
1.2,1.2074
1.25,1.18973
1.3,1.15026
1.35,1.1388
1.4,1.12974
1.45,1.1157
1.5,1.08954
1.55,1.07774
1.6,1.06673
1.65,1.05111
1.7,1.05309
1.75,1.05004
1.8,1.02969
1.85,1.02713
1.9,1.03821
1.95,1.01163
2,0.981636
2.05,0.990469
2.1,0.975743
2.15,0.949151
2.2,0.91187
2.25,0.897146
2.3,0.861273
2.35,0.871965
2.4,0.922254
2.45,0.95301
2.5,0.968292
2.55,0.969539
2.6,0.976194
2.65,1.00379
2.7,1.07268
2.75,1.08733
2.8,1.11737
2.85,1.1444
2.9,1.12934
2.95,1.16253
3,1.18249
3.05,1.2053
3.1,1.21079
3.15,1.23722
3.2,1.26064
3.25,1.26583
3.3,1.27839
3.35,1.29953
3.4,1.31546
3.45,1.33081
3.5,1.33852
3.55,1.34925
3.6,1.35778
3.65,1.36103
3.7,1.35776
3.75,1.34652
3.8,1.32417
3.85,1.2997
3.9,1.27901
3.95,1.26486
4,1.24948
4.05,1.22163
4.1,1.20333
4.15,1.17221
4.2,1.1328
4.25,1.11307
4.3,1.10673
4.35,1.09403
4.4,1.07697
4.45,1.07232
4.5,1.06492
4.55,1.04204
4.6,1.05677
4.65,1.08841
4.7,1.0724
4.75,1.08113
4.8,1.11664
4.85,1.13339
4.9,1.13608
4.95,1.15056
5,1.13458
5.05,1.13459
5.1,1.14003
5.15,1.13933
5.2,1.13679
5.25,1.14999
5.3,1.14264
5.35,1.14369
5.4,1.1339
5.45,1.13832
5.5,1.13669
5.55,1.1305
5.6,1.12769
5.65,1.1122
5.7,1.09281
5.75,1.07139
5.8,1.03652
5.85,0.98649
5.9,0.917389
5.95,0.87148
6,0.813231
6.05,0.768363
6.1,0.737875
6.15,0.668833
6.2,0.580146
6.25,0.498381
6.3,0.414323
6.35,0.316248
6.4,0.227015
6.45,0.130044
6.5,0.0305069
6.55,-0.0666077
6.6,-0.178511
6.65,-0.302609
6.7,-0.410452
6.75,-0.510301
6.8,-0.636028
6.85,-0.731638
6.9,-0.800397
6.95,-0.853827
7,-0.908548
7.05,-0.971186
7.1,-1.02928
7.15,-1.07851
7.2,-1.11969
7.25,-1.15772
7.3,-1.16443
7.35,-1.19446
7.4,-1.21892
7.45,-1.24372
7.5,-1.27211
7.55,-1.28697
7.6,-1.31015
7.65,-1.32726
7.7,-1.33425
7.75,-1.34621
7.8,-1.35886
7.85,-1.3652
7.9,-1.36508
7.95,-1.37231
8,-1.368
8.05,-1.3594
8.1,-1.35534
8.15,-1.35076
8.2,-1.34182
8.25,-1.33728
8.3,-1.33077
8.35,-1.31993
8.4,-1.31889
8.45,-1.30605
8.5,-1.29212
8.55,-1.2997
8.6,-1.30499
8.65,-1.29192
8.7,-1.29706
8.75,-1.29913
8.8,-1.30969
8.85,-1.31144
8.9,-1.30988
8.95,-1.31937
9,-1.32378
9.05,-1.32347
9.1,-1.33594
9.15,-1.34324
9.2,-1.34407
9.25,-1.34046
9.3,-1.3511
9.35,-1.36011
9.4,-1.36793
9.45,-1.37564
9.5,-1.3875
9.55,-1.39669
9.6,-1.40269
9.65,-1.40812
9.7,-1.40328
9.75,-1.39308
9.8,-1.38508
9.85,-1.36601
9.9,-1.34658
9.95,-1.32347
10,-1.29362
10.05,-1.26079
10.1,-1.21586
10.15,-1.17087
10.2,-1.12197
10.25,-1.07932
10.3,-1.03958
10.35,-0.987541
10.4,-0.943486
10.45,-0.905447
10.5,-0.897363
10.55,-0.83824
10.6,-0.809795
10.65,-0.793116
10.7,-0.783875
10.75,-0.825316
10.8,-0.849726
10.85,-0.857874
10.9,-0.86463
10.95,-0.884673
11,-0.9145
11.05,-0.969649
11.1,-0.998532
11.15,-1.0483
11.2,-1.07943
11.25,-1.10568
11.3,-1.14097
11.35,-1.17272
11.4,-1.19478
11.45,-1.21081
11.5,-1.24469
11.55,-1.27279
11.6,-1.29177
11.65,-1.302
11.7,-1.32304
11.75,-1.33812
11.8,-1.34618
