tau,x
0,1.29156
0.05,0.969517
0.1,1.58917
0.15,1.52867
0.2,1.59934
0.25,1.49143
0.3,1.66596
0.35,1.559
0.4,1.14167
0.45,1.34778
0.5,1.66338
0.55,1.79524
0.6,1.5497
0.65,1.05366
0.7,1.1358
0.75,1.15002
0.8,1.09482
0.85,0.838073
0.9,0.371132
0.95,-0.2098
1,-0.643847
1.05,-0.441675
1.1,-0.274711
1.15,-0.63865
1.2,-1.05518
1.25,-1.33503
1.3,-1.28124
1.35,-1.21883
1.4,-1.05037
1.45,-1.58137
1.5,-1.71377
1.55,-1.94143
1.6,-1.55647
1.65,-1.51263
1.7,-1.33125
1.75,-1.47972
1.8,-1.28072
1.85,-1.55638
1.9,-1.69976
1.95,-1.7026
2,-1.62644
2.05,-1.50645
2.1,-1.57783
2.15,-1.75622
2.2,-2.07867
2.25,-1.98449
2.3,-1.61827
2.35,-1.69356
2.4,-1.76479
2.45,-1.68837
2.5,-1.47728
2.55,-1.41492
2.6,-1.61334
2.65,-1.32123
2.7,-0.842496
2.75,-1.32027
2.8,-1.01234
2.85,-0.190157
2.9,-0.289244
2.95,-0.251499
3,-0.191051
3.05,0.303959
3.1,0.702402
3.15,1.15953
3.2,0.717831
3.25,1.24094
3.3,1.20116
3.35,1.26054
3.4,0.980259
3.45,0.88897
3.5,1.02232
3.55,0.997846
3.6,1.50387
3.65,1.11782
3.7,1.34214
3.75,1.60263
3.8,1.70047
3.85,1.49897
3.9,1.41925
3.95,1.01604
4,1.15471
4.05,1.0843
4.1,0.6504
4.15,0.157505
4.2,-0.104898
4.25,-0.374094
4.3,-0.597457
4.35,0.165759
4.4,0.224202
4.45,0.142675
4.5,0.0644897
4.55,-0.21518
4.6,0.260257
4.65,0.150254
4.7,0.180328
4.75,0.706177
4.8,0.488181
4.85,0.908435
4.9,1.31083
4.95,0.742211
5,0.310802
5.05,0.587654
5.1,1.04935
5.15,1.04768
5.2,0.935692
5.25,0.951354
5.3,0.391346
5.35,0.717724
5.4,0.410355
5.45,0.0696948
5.5,0.0472117
5.55,-0.713508
5.6,-1.09957
5.65,-0.664705
5.7,-1.13372
5.75,-1.10296
5.8,-1.17711
5.85,-1.1326
5.9,-0.931683
5.95,-0.674211
6,-0.71928
6.05,-0.0999835
6.1,-0.515682
6.15,-0.889138
6.2,-1.14554
6.25,-1.07107
6.3,-1.30747
6.35,-1.18159
6.4,-1.27381
6.45,-1.16996
6.5,-1.53938
6.55,-1.24977
6.6,-0.774803
6.65,-0.978553
6.7,-0.732754
6.75,-1.28939
6.8,-0.94483
6.85,-1.24888
6.9,-0.980083
6.95,-1.67422
7,-1.6191
7.05,-1.86196
7.1,-1.87891
7.15,-1.46578
7.2,-1.42272
7.25,-1.69821
7.3,-1.44438
7.35,-1.49049
7.4,-1.61894
7.45,-1.54125
7.5,-1.16214
7.55,-1.01144
7.6,-0.928132
7.65,-0.796334
7.7,-1.17037
7.75,-0.881702
7.8,-1.34759
7.85,-1.3387
7.9,-1.4547
7.95,-1.79453
8,-1.54145
8.05,-1.71069
8.1,-1.4541
8.15,-1.58563
8.2,-1.58917
8.25,-1.49231
8.3,-1.26434
8.35,-0.73201
8.4,-0.574586
8.45,-0.214599
8.5,-0.551839
8.55,-0.0615146
8.6,-0.646384
8.65,-0.349434
8.7,0.336318
8.75,0.70409
8.8,1.34501
8.85,1.01024
8.9,0.926242
8.95,1.19857
9,1.09012
9.05,1.0892
9.1,0.904259
9.15,1.30973
9.2,1.69786
9.25,1.27407
9.3,0.954287
9.35,0.818563
9.4,1.24936
9.45,1.41488
9.5,1.65247
9.55,1.68535
9.6,1.32533
9.65,0.982632
9.7,1.13456
9.75,0.869808
9.8,0.837357
9.85,0.890173
9.9,0.5067
9.95,0.761964
10,0.321127
10.05,0.157613
10.1,0.593458
10.15,0.699428
10.2,0.954443
10.25,1.15197
10.3,1.49147
10.35,1.21692
10.4,1.24221
10.45,1.3123
10.5,1.2782
10.55,1.09441
10.6,0.598951
10.65,0.89537
10.7,1.43573
10.75,1.72191
10.8,1.70055
10.85,1.81139
10.9,1.33953
10.95,1.0485
11,1.07909
11.05,1.29848
11.1,1.52087
11.15,1.9976
11.2,2.22929
11.25,1.84331
11.3,1.45842
11.35,1.26445
11.4,1.01282
11.45,0.869759
11.5,0.995922
11.55,0.747291
11.6,0.31495
11.65,0.362432
11.7,0.299306
11.75,-0.00212038
11.8,0.0257134
11.85,0.462082
11.9,0.821645
11.95,0.204373
12,0.134508
12.05,0.364808
12.1,0.465011
12.15,0.616846
12.2,0.765925
12.25,0.967687
12.3,0.991481
12.35,0.793198
12.4,1.04834
12.45,1.47076
12.5,0.951801
12.55,1.09207
12.6,1.3361
12.65,1.69699
12.7,1.60992
12.75,1.76138
12.8,1.14956
12.85,1.27336
12.9,0.966873
12.95,0.671286
13,0.788884
13.05,1.31626
13.1,1.24505
13.15,1.38596
13.2,1.4048
13.25,1.9944
13.3,2.16191
13.35,1.95202
13.4,1.92949
13.45,1.9739
13.5,1.72319
13.55,1.43354
13.6,1.78319
13.65,1.60138
13.7,1.96499
13.75,1.69414
13.8,1.52305
13.85,1.50987
13.9,1.57499
13.95,1.45733
14,1.83504
14.05,1.84883
14.1,1.90102
14.15,1.66165
14.2,1.41629
14.25,1.14513
14.3,1.45365
14.35,1.60586
14.4,1.60633
14.45,1.56646
14.5,1.52199
14.55,1.50269
14.6,1.18135
14.65,1.14533
14.7,0.678381
14.75,0.821375
14.8,1.13086
14.85,0.940148
14.9,0.624161
14.95,0.507387
15,0.389399
15.05,0.160379
15.1,0.509221
15.15,0.41093
15.2,0.237062
15.25,0.25573
15.3,0.372974
15.35,0.461343
15.4,0.684694
15.45,0.367114
15.5,0.533211
15.55,-0.0844903
15.6,-0.79121
15.65,-0.37872
15.7,-0.272525
15.75,-0.848953
15.8,-0.988573
15.85,-1.04288
15.9,-0.592081
15.95,-0.950792
16,-1.26387
16.05,-1.37856
16.1,-1.30313
16.15,-1.4853
16.2,-1.33581
16.25,-1.5254
16.3,-1.38586
16.35,-1.50005
16.4,-1.61759
16.45,-1.49072
16.5,-1.03169
16.55,-0.76081
16.6,-0.622702
16.65,-0.214982
16.7,-0.495093
16.75,-0.838338
16.8,-0.648141
16.85,-0.539768
16.9,-1.17917
16.95,-1.30504
17,-0.866664
17.05,-0.391177
17.1,-0.904056
17.15,-0.883332
17.2,-1.21549
17.25,-1.24406
17.3,-1.19556
17.35,-0.818882
17.4,-0.515366
17.45,-0.589744
17.5,-1.27285
17.55,-1.33866
17.6,-1.03682
17.65,-1.09301
17.7,-0.705423
17.75,-0.643887
17.8,-0.116931
17.85,0.228738
17.9,0.522849
17.95,0.450811
18,0.593851
18.05,0.698443
18.1,0.658709
18.15,1.20375
18.2,0.912516
18.25,1.05195
18.3,0.607184
18.35,0.241553
18.4,0.532627
18.45,0.0737211
18.5,0.261145
18.55,0.363003
18.6,0.00586067
18.65,-0.298888
18.7,-0.550378
18.75,-1.17643
18.8,-1.76385
18.85,-1.45567
18.9,-1.51277
18.95,-1.45792
19,-1.62113
19.05,-1.33351
19.1,-1.58938
19.15,-1.8352
19.2,-1.42494
19.25,-1.3668
19.3,-1.52651
19.35,-1.39413
19.4,-1.12547
19.45,-0.706387
19.5,-0.643217
19.55,-0.823732
19.6,-1.03001
19.65,-1.1681
19.7,-1.07805
19.75,-0.888023
19.8,-1.2941
19.85,-1.26931
19.9,-0.999846
19.95,-0.932768
20,-0.575632
20.05,-0.759753
20.1,-0.0486439
20.15,-0.223559
20.2,0.143243
20.25,0.908283
20.3,0.778377
20.35,0.828525
20.4,0.880968
20.45,0.989471
20.5,0.886715
20.55,0.703001
20.6,0.524812
20.65,0.630643
20.7,0.530467
20.75,0.692096
20.8,1.13456
20.85,0.999898
20.9,0.48727
20.95,0.978045
21,0.875077
21.05,0.696665
21.1,1.00754
21.15,1.20149
21.2,1.12217
21.25,1.02809
21.3,0.84322
21.35,0.73435
21.4,0.301264
21.45,0.646975
21.5,0.913593
21.55,1.44107
21.6,1.53652
21.65,1.88311
21.7,1.2638
21.75,1.15811
21.8,1.06098
21.85,1.11451
21.9,1.18769
21.95,0.851281
22,1.48988
22.05,1.26848
22.1,1.41266
22.15,1.31757
22.2,1.39636
22.25,1.78321
22.3,1.62157
22.35,1.6737
22.4,1.89459
22.45,0.923073
22.5,1.62981
22.55,1.74343
